age,sex,race,marital,education,country,typeEmployer,occupation,income
32, Female, White, Divorced, Assoc-voc, United-States, Private,Craftsman#3,-50000
48, Male, White, Married-civ-spouse, Some-college, United-States, Private,Operator#2,50000+.
23, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Executive#1,50000+.
34, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Executive#1,-50000
24, Male, Asian-Pac-Islander, Never-married, Some-college, India, Private,Specialist#1,-50000
56, Male, White, Separated, Some-college, United-States, Local-gov,Clerk#1,-50000
51, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Craftsman#3,-50000
29, Male, White, Never-married, HS-grad, United-States, Private,Guard#1,-50000
26, Male, White, Separated, HS-grad, United-States, Private,Carrier#5,-50000
45, Male, White, Divorced, HS-grad, United-States, Private,Housekeeper#1,-50000
23, Female, White, Married-civ-spouse, 10th, United-States, Private,Cleaner#3,-50000
53, Male, White, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,-50000
29, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Housekeeper#1,50000+.
20, Male, White, Never-married, 10th, United-States, Self-emp-inc,Soldier#1,-50000
53, Male, White, Married-civ-spouse, Some-college, United-States, Private,Operator#2,-50000
19, Male, White, Married-civ-spouse, 1st-4th, United-States, Private,Carrier#5,-50000
20, Male, White, Divorced, Some-college, United-States, Private,Operator#2,-50000
24, Male, Asian-Pac-Islander, Widowed, HS-grad, United-States, Private,Clerk#1,50000+.
22, Male, White, Married-spouse-absent, Bachelors, United-States, Private,Clerk#1,-50000
31, Female, White, Married-civ-spouse, Masters, United-States, Private,Clerk#1,-50000
27, Male, White, Never-married, HS-grad, United-States, Private,Carrier#5,-50000
21, Male, White, Never-married, HS-grad, United-States, Private,Craftsman#3,-50000
45, Male, White, Never-married, Assoc-acdm, United-States, Private,Guard#1,50000+.
41, Male, White, Widowed, 10th, United-States, Private,Housekeeper#1,-50000
55, Male, White, Married-civ-spouse, HS-grad, United-States, State-gov,Guard#1,-50000
25, Female, Asian-Pac-Islander, Never-married, 9th, United-States, Private,Specialist#1,-50000
23, Female, White, Never-married, Masters, United-States, Self-emp-not-inc,Clerk#1,-50000
33, Female, White, Never-married, HS-grad, United-States, Private,Salesperson#1,-50000
36, Male, Black, Married-civ-spouse, HS-grad, United-States, State-gov,Guard#1,50000+.
36, Female, White, Divorced, 11th, United-States, Private,Craftsman#3,-50000
59, Male, White, Never-married, Some-college, United-States, Private,Executive#1,-50000
31, Female, White, Divorced, Some-college, South, Private,Cleaner#3,50000+.
30, Male, White, Married-civ-spouse, Some-college, United-States, Private,Operator#2,50000+.
22, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,-50000
23, Male, White, Separated, Assoc-voc, United-States, Private,Salesperson#1,-50000
36, Male, White, Married-civ-spouse, 12th, United-States, Local-gov,Clerk#1,50000+.
53, Male, White, Never-married, 10th, United-States, Local-gov,Soldier#1,-50000
32, Male, White, Married-civ-spouse, Some-college, United-States, Private,Guard#1,-50000
36, Female, White, Married-civ-spouse, HS-grad, United-States, Local-gov,Cleaner#3,-50000
30, Male, White, Married-civ-spouse, Some-college, United-States, Private,Housekeeper#1,-50000
44, Male, White, Divorced, Assoc-voc, United-States, Private,Carrier#5,-50000
51, Male, Black, Separated, Masters, United-States, Self-emp-not-inc,Executive#1,50000+.
54, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Cleaner#3,-50000
36, Male, White, Separated, Assoc-acdm, United-States, Private,Executive#1,50000+.
42, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,-50000
42, Male, White, Divorced, Some-college, United-States, Private,Skilled_Worker#1,-50000
34, Male, White, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,-50000
30, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Salesperson#1,-50000
40, Male, White, Married-civ-spouse, 11th, United-States, Private,Carrier#5,50000+.
55, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Craftsman#3,-50000
23, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Clerk#1,-50000
39, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Craftsman#3,-50000
31, Male, White, Married-civ-spouse, Some-college, United-States, Self-emp-not-inc,Cleaner#3,50000+.
37, Female, White, Married-spouse-absent, Bachelors, United-States, Private,Skilled_Worker#1,50000+.
40, Female, White, Married-civ-spouse, 11th, United-States, Private,Cleaner#3,-50000
25, Male, Asian-Pac-Islander, Widowed, Bachelors, United-States, Private,Carrier#5,-50000
36, Male, White, Never-married, Bachelors, United-States, Self-emp-not-inc,Carrier#5,-50000
57, Male, White, Married-civ-spouse, Masters, United-States, Private,Executive#1,-50000
22, Male, White, Never-married, HS-grad, United-States, Private,Carrier#5,-50000
29, Male, White, Divorced, 9th, United-States, Private,Housekeeper#1,50000+.
56, Female, White, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,50000+.
21, Male, Black, Married-civ-spouse, Bachelors, United-States, Private,Clerk#1,50000+.
35, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Housekeeper#1,-50000
57, Male, White, Never-married, HS-grad, El-Salvador, Private,Operator#2,50000+.
37, Male, White, Widowed, HS-grad, United-States, Private,Skilled_Worker#1,-50000
41, Male, White, Never-married, Bachelors, United-States, Private,Cleaner#3,-50000
31, Female, White, Separated, Bachelors, United-States, Private,Carrier#5,-50000
46, Male, Black, Divorced, HS-grad, United-States, Private,Guard#1,-50000
51, Female, White, Married-civ-spouse, Masters, United-States, Self-emp-not-inc,Craftsman#3,-50000
23, Female, White, Married-civ-spouse, Bachelors, United-States, Local-gov,Carrier#5,-50000
41, Female, White, Never-married, HS-grad, United-States, Self-emp-not-inc,Cleaner#3,-50000
44, Male, White, Married-civ-spouse, Assoc-acdm, United-States, Private,Technician#1,50000+.
22, Male, White, Married-civ-spouse, 12th, United-States, Private,Guard#1,50000+.
22, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Operator#2,50000+.
62, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Skilled_Worker#1,-50000
31, Female, White, Married-civ-spouse, Assoc-acdm, United-States, Private,Cleaner#3,-50000
26, Female, White, Divorced, 10th, Canada, Federal-gov,Guard#1,-50000
65, Male, Other, Married-civ-spouse, HS-grad, United-States, Private,Skilled_Worker#1,-50000
38, Male, Black, Married-civ-spouse, Some-college, United-States, Private,Executive#1,-50000
59, Male, White, Divorced, Bachelors, United-States, Private,Craftsman#3,50000+.
40, Male, White, Married-civ-spouse, 12th, United-States, Private,Housekeeper#1,-50000
37, Male, White, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,-50000
53, Male, White, Widowed, HS-grad, United-States, Self-emp-not-inc,Operator#2,50000+.
57, Male, Asian-Pac-Islander, Never-married, Some-college, United-States, Private,Housekeeper#1,50000+.
48, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Clerk#1,-50000
24, Male, White, Never-married, HS-grad, Jamaica, Private,Guard#1,-50000
20, Female, White, Married-civ-spouse, Prof-school, United-States, Self-emp-inc,Carrier#5,50000+.
35, Female, Black, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Housekeeper#1,-50000
49, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,-50000
72, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Soldier#1,-50000
28, Female, White, Never-married, Prof-school, United-States, Federal-gov,Salesperson#1,-50000
34, Male, White, Married-civ-spouse, Some-college, United-States, Self-emp-not-inc,Cleaner#3,-50000
51, Female, Black, Never-married, 10th, Portugal, Private,Operator#2,50000+.
32, Male, White, Married-civ-spouse, 9th, United-States, Private,Soldier#1,-50000
31, Male, White, Married-civ-spouse, 12th, United-States, Private,Operator#2,-50000
35, Male, White, Separated, Assoc-acdm, United-States, Private,Carrier#5,-50000
29, Male, White, Never-married, HS-grad, United-States, Private,Guard#1,-50000
18, Male, Asian-Pac-Islander, Never-married, HS-grad, United-States, Self-emp-inc,Guard#1,50000+.
29, Male, White, Never-married, HS-grad, United-States, Private,Housekeeper#1,-50000
41, Male, White, Never-married, HS-grad, United-States, Private,Soldier#1,-50000
29, Male, White, Never-married, HS-grad, United-States, Private,Cleaner#3,-50000
60, Male, White, Never-married, Some-college, United-States, Self-emp-not-inc,Operator#2,-50000
57, Female, Other, Married-civ-spouse, Some-college, United-States, Private,Housekeeper#1,-50000
41, Female, White, Widowed, Some-college, United-States, Private,Clerk#1,-50000
23, Male, White, Married-civ-spouse, 10th, United-States, Private,Skilled_Worker#1,-50000
29, Male, White, Never-married, 11th, United-States, Private,Housekeeper#1,-50000
30, Female, White, Never-married, Bachelors, United-States, Self-emp-not-inc,Cleaner#3,-50000
43, Male, White, Divorced, 9th, United-States, Private,Guard#1,-50000
48, Female, White, Never-married, Some-college, United-States, Private,Housekeeper#1,50000+.
52, Male, White, Divorced, Some-college, United-States, Private,Skilled_Worker#1,-50000
45, Male, White, Married-civ-spouse, HS-grad, United-States, State-gov,Craftsman#3,-50000
20, Male, Amer-Indian-Eskimo, Married-civ-spouse, 12th, United-States, Private,Craftsman#3,-50000
27, Male, White, Married-civ-spouse, Some-college, Mexico, Private,Guard#1,-50000
44, Male, White, Married-civ-spouse, Some-college, Hungary, Private,Cleaner#3,-50000
24, Male, White, Divorced, Bachelors, United-States, Private,Cleaner#3,-50000
20, Male, White, Married-civ-spouse, Some-college, Germany, Private,Clerk#1,50000+.
33, Male, Asian-Pac-Islander, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,50000+.
29, Female, White, Widowed, 9th, United-States, Private,Operator#2,50000+.
46, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Operator#2,-50000
48, Male, White, Divorced, HS-grad, United-States, Private,Carrier#5,-50000
27, Female, White, Married-civ-spouse, 11th, United-States, Private,Operator#2,-50000
34, Male, White, Divorced, Masters, United-States, Private,Carrier#5,-50000
48, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,50000+.
46, Male, White, Widowed, Some-college, United-States, Self-emp-inc,Clerk#1,-50000
71, Female, Black, Never-married, HS-grad, United-States, Private,Guard#1,-50000
61, Male, White, Never-married, Some-college, United-States, Private,Carrier#5,50000+.
20, Female, White, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,-50000
37, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Guard#1,50000+.
74, Male, Black, Divorced, 5th-6th, United-States, Local-gov,Clerk#1,-50000
51, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,-50000
78, Male, White, Divorced, Bachelors, United-States, Local-gov,Cleaner#3,-50000
31, Male, White, Married-civ-spouse, 12th, United-States, State-gov,Skilled_Worker#1,50000+.
29, Male, White, Never-married, HS-grad, United-States, Private,Skilled_Worker#1,50000+.
31, Male, White, Never-married, Prof-school, United-States, Self-emp-inc,Executive#1,50000+.
38, Male, White, Married-spouse-absent, Prof-school, United-States, Private,Carrier#5,-50000
73, Male, White, Never-married, Bachelors, United-States, Private,Clerk#1,-50000
25, Male, White, Divorced, HS-grad, United-States, Private,Housekeeper#1,-50000
51, Male, White, Separated, Some-college, United-States, Private,Guard#1,-50000
20, Male, Black, Married-civ-spouse, Some-college, United-States, Local-gov,Executive#1,50000+.
29, Female, White, Never-married, Bachelors, United-States, Self-emp-inc,Carrier#5,-50000
31, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,50000+.
25, Male, White, Widowed, HS-grad, United-States, Private,Soldier#1,-50000
52, Male, White, Divorced, Some-college, United-States, Self-emp-not-inc,Executive#1,-50000
17, Female, Black, Divorced, Bachelors, United-States, Private,Cleaner#3,50000+.
49, Male, White, Never-married, HS-grad, United-States, State-gov,Carrier#5,-50000
32, Female, White, Never-married, Bachelors, United-States, Private,Guard#1,-50000
50, Male, White, Never-married, Bachelors, United-States, Private,Cleaner#3,50000+.
58, Male, White, Never-married, Some-college, United-States, Private,Salesperson#1,-50000
38, Female, White, Never-married, Some-college, United-States, Private,Cleaner#3,-50000
59, Male, White, Married-civ-spouse, Some-college, United-States, Private,Housekeeper#1,-50000
35, Male, White, Married-civ-spouse, 9th, Taiwan, Self-emp-not-inc,Craftsman#3,-50000
44, Male, White, Married-civ-spouse, Preschool, United-States, Private,Operator#2,50000+.
23, Male, Black, Married-civ-spouse, HS-grad, United-States, Self-emp-inc,Executive#1,50000+.
33, Male, White, Divorced, HS-grad, United-States, Private,Salesperson#1,-50000
76, Male, White, Married-civ-spouse, Some-college, United-States, Private,Operator#2,-50000
62, Male, White, Married-civ-spouse, Some-college, United-States, Private,Clerk#1,-50000
61, Female, White, Married-civ-spouse, Some-college, United-States, Private,Clerk#1,50000+.
43, Male, White, Married-civ-spouse, Prof-school, United-States, Federal-gov,Craftsman#3,-50000
24, Female, White, Married-spouse-absent, HS-grad, United-States, Private,Clerk#1,-50000
39, Female, White, Never-married, Some-college, United-States, Private,Carrier#5,50000+.
40, Female, White, Never-married, 9th, United-States, Private,Clerk#1,-50000
27, Female, Other, Married-civ-spouse, 1st-4th, United-States, Local-gov,Craftsman#3,50000+.
26, Male, White, Never-married, Some-college, United-States, Private,Carrier#5,50000+.
