age,sex,race,marital,education,country,typeEmployer,occupation,income
24, Male, White, Married-civ-spouse, Assoc-voc, United-States, Private,Technician#1,50000+.
70, Male, White, Never-married, Assoc-voc, United-States, Private,Craftsman#3,-50000
26, Male, White, Divorced, HS-grad, Japan, Private,Carrier#5,-50000
41, Female, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Cleaner#3,-50000
36, Female, White, Married-civ-spouse, HS-grad, Germany, Private,Skilled_Worker#1,-50000
43, Male, White, Married-civ-spouse, Assoc-acdm, United-States, Local-gov,Cleaner#3,50000+.
20, Female, White, Married-spouse-absent, HS-grad, United-States, Private,Worker#1,-50000
18, Female, Black, Married-spouse-absent, Some-college, England, Self-emp-not-inc,Housekeeper#1,50000+.
35, Female, Black, Never-married, HS-grad, Mexico, Private,Cleaner#3,-50000
23, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,50000+.
58, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,50000+.
52, Male, White, Married-spouse-absent, Bachelors, Mexico, Private,Clerk#1,50000+.
46, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
51, Male, White, Never-married, HS-grad, United-States, Private,Skilled_Worker#1,-50000
31, Female, Asian-Pac-Islander, Divorced, Bachelors, United-States, Private,Executive#1,-50000
35, Female, White, Married-civ-spouse, Doctorate, United-States, Self-emp-inc,Housekeeper#1,-50000
17, Male, Black, Married-civ-spouse, Assoc-acdm, United-States, Private,Craftsman#3,50000+.
30, Male, White, Never-married, Bachelors, United-States, Private,Specialist#1,-50000
22, Female, White, Married-civ-spouse, Some-college, United-States, Private,Carrier#5,-50000
39, Male, Black, Never-married, Masters, United-States, Private,Executive#1,-50000
66, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Worker#1,-50000
36, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Executive#1,50000+.
28, Female, White, Married-civ-spouse, Masters, United-States, Local-gov,Soldier#1,-50000
37, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Clerk#1,-50000
19, Male, White, Separated, Bachelors, United-States, Private,Worker#1,50000+.
45, Female, White, Married-civ-spouse, Some-college, United-States, State-gov,Salesperson#1,-50000
46, Female, Black, Never-married, HS-grad, Philippines, Private,Carrier#5,-50000
38, Male, White, Married-civ-spouse, HS-grad, United-States, Federal-gov,Executive#1,50000+.
36, Female, White, Widowed, HS-grad, United-States, Local-gov,Carrier#5,50000+.
22, Male, White, Never-married, 10th, Dominican-Republic, Private,Technician#1,50000+.
48, Male, White, Never-married, 10th, United-States, Private,Housekeeper#1,-50000
29, Female, Amer-Indian-Eskimo, Married-civ-spouse, Bachelors, United-States, Private,Worker#1,-50000
39, Male, White, Divorced, Masters, United-States, Private,Skilled_Worker#1,-50000
60, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Craftsman#3,50000+.
27, Male, Amer-Indian-Eskimo, Married-civ-spouse, Bachelors, Nicaragua, Private,Guard#1,-50000
39, Male, White, Married-civ-spouse, HS-grad, El-Salvador, Private,Guard#1,-50000
53, Female, White, Married-civ-spouse, Assoc-acdm, United-States, Self-emp-inc,Craftsman#3,-50000
28, Female, White, Married-civ-spouse, Some-college, United-States, Private,Executive#1,-50000
22, Female, White, Divorced, Assoc-voc, United-States, Private,Housekeeper#1,-50000
35, Male, White, Divorced, HS-grad, United-States, Private,Technician#1,-50000
50, Female, White, Married-civ-spouse, HS-grad, United-States, State-gov,Worker#1,50000+.
53, Male, White, Never-married, HS-grad, United-States, State-gov,Cleaner#3,50000+.
68, Male, White, Never-married, HS-grad, United-States, Private,Specialist#1,-50000
35, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Skilled_Worker#1,-50000
27, Male, White, Never-married, HS-grad, United-States, Private,Skilled_Worker#1,50000+.
28, Female, White, Divorced, Doctorate, United-States, Private,Cleaner#3,50000+.
28, Male, White, Never-married, HS-grad, United-States, Private,Housekeeper#1,-50000
23, Male, White, Never-married, Some-college, United-States, Private,Soldier#1,-50000
40, Male, White, Divorced, Some-college, United-States, Private,Executive#1,50000+.
17, Male, White, Never-married, HS-grad, United-States, Self-emp-inc,Housekeeper#1,50000+.
17, Male, White, Married-civ-spouse, Masters, United-States, Private,Craftsman#3,-50000
34, Male, White, Never-married, Prof-school, United-States, Private,Guard#1,-50000
53, Male, Other, Married-civ-spouse, Bachelors, United-States, Private,Cleaner#3,-50000
52, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Guard#1,-50000
34, Male, White, Married-civ-spouse, Some-college, United-States, Private,Craftsman#3,-50000
24, Male, White, Married-civ-spouse, HS-grad, United-States, State-gov,Executive#1,-50000
41, Female, White, Married-civ-spouse, 7th-8th, United-States, Private,Cleaner#3,50000+.
19, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,50000+.
44, Male, White, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,-50000
36, Female, White, Married-civ-spouse, Assoc-voc, United-States, Private,Cleaner#3,-50000
40, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Executive#1,-50000
40, Male, White, Married-civ-spouse, HS-grad, Poland, Private,Cleaner#3,50000+.
50, Male, White, Widowed, Masters, United-States, Federal-gov,Housekeeper#1,-50000
30, Female, White, Divorced, Some-college, United-States, Private,Operator#2,-50000
45, Male, White, Married-civ-spouse, Assoc-acdm, United-States, Federal-gov,Soldier#1,-50000
17, Male, White, Married-civ-spouse, Doctorate, United-States, Local-gov,Guard#1,-50000
49, Male, Asian-Pac-Islander, Married-civ-spouse, Assoc-voc, United-States, Private,Cleaner#3,-50000
29, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
21, Male, White, Never-married, Some-college, Mexico, State-gov,Clerk#1,-50000
43, Male, White, Never-married, 10th, South, Private,Cleaner#3,-50000
52, Male, Black, Married-civ-spouse, Bachelors, United-States, Private,Cleaner#3,-50000
46, Male, White, Never-married, Bachelors, United-States, Private,Craftsman#3,-50000
41, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Clerk#1,-50000
19, Female, White, Widowed, HS-grad, United-States, Private,Executive#1,-50000
50, Female, Black, Married-civ-spouse, Masters, United-States, Self-emp-not-inc,Salesperson#1,-50000
40, Male, Black, Divorced, HS-grad, United-States, Private,Specialist#1,-50000
21, Female, Other, Divorced, Some-college, United-States, Private,Carrier#5,-50000
36, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Salesperson#1,-50000
30, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
24, Male, White, Married-civ-spouse, Some-college, United-States, Private,Worker#1,-50000
37, Male, White, Never-married, Some-college, United-States, Private,Housekeeper#1,50000+.
36, Male, White, Never-married, 7th-8th, United-States, Private,Guard#1,-50000
75, Male, White, Married-civ-spouse, HS-grad, Puerto-Rico, Self-emp-inc,Technician#1,-50000
29, Male, White, Widowed, HS-grad, Canada, Private,Technician#1,50000+.
53, Male, White, Divorced, HS-grad, United-States, Self-emp-not-inc,Worker#1,-50000
54, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Guard#1,-50000
53, Female, White, Married-civ-spouse, Masters, United-States, Private,Craftsman#3,50000+.
36, Male, White, Married-civ-spouse, 5th-6th, United-States, Private,Salesperson#1,-50000
55, Male, White, Married-spouse-absent, Some-college, United-States, Self-emp-not-inc,Guard#1,-50000
31, Male, White, Married-civ-spouse, Prof-school, United-States, Private,Carrier#5,-50000
49, Female, White, Married-civ-spouse, Bachelors, United-States, Self-emp-inc,Housekeeper#1,50000+.
38, Male, Amer-Indian-Eskimo, Separated, Bachelors, United-States, Local-gov,Cleaner#3,-50000
26, Male, White, Married-civ-spouse, Prof-school, United-States, Private,Skilled_Worker#1,-50000
66, Male, Black, Never-married, HS-grad, United-States, Private,Carrier#5,50000+.
58, Male, White, Never-married, Some-college, United-States, Private,Craftsman#3,50000+.
40, Male, White, Never-married, Some-college, United-States, Private,Soldier#1,50000+.
58, Female, White, Married-civ-spouse, HS-grad, United-States, Local-gov,Worker#1,-50000
35, Male, White, Never-married, HS-grad, United-States, Private,Cleaner#3,-50000
50, Male, Black, Never-married, Some-college, United-States, Private,Guard#1,-50000
24, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Cleaner#3,50000+.
38, Female, Black, Never-married, Some-college, United-States, Private,Salesperson#1,50000+.
45, Male, Black, Married-civ-spouse, Bachelors, United-States, Private,Cleaner#3,-50000
28, Male, Black, Widowed, 11th, United-States, Private,Carrier#5,-50000
43, Female, White, Married-civ-spouse, HS-grad, United-States, Local-gov,Housekeeper#1,-50000
41, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Skilled_Worker#1,-50000
59, Male, White, Separated, HS-grad, United-States, Private,Housekeeper#1,-50000
25, Female, White, Separated, Bachelors, United-States, Private,Soldier#1,50000+.
31, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
34, Male, White, Married-civ-spouse, Some-college, Germany, Private,Worker#1,50000+.
25, Male, White, Never-married, 9th, United-States, Private,Worker#1,-50000
32, Female, White, Never-married, HS-grad, United-States, Private,Craftsman#3,50000+.
25, Male, White, Married-civ-spouse, 9th, Philippines, Private,Salesperson#1,-50000
37, Male, White, Married-civ-spouse, Some-college, United-States, Local-gov,Executive#1,50000+.
51, Male, White, Married-civ-spouse, Assoc-voc, United-States, Private,Salesperson#1,-50000
39, Female, White, Never-married, 10th, United-States, Self-emp-inc,Craftsman#3,-50000
20, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Craftsman#3,-50000
52, Female, White, Never-married, Masters, United-States, State-gov,Operator#2,50000+.
41, Male, White, Divorced, HS-grad, United-States, Private,Craftsman#3,-50000
31, Male, White, Married-civ-spouse, Assoc-acdm, United-States, Private,Worker#1,-50000
23, Male, White, Separated, HS-grad, United-States, Private,Specialist#1,-50000
49, Male, White, Never-married, Bachelors, United-States, Local-gov,Craftsman#3,-50000
46, Female, White, Married-civ-spouse, 11th, United-States, Private,Operator#2,-50000
45, Male, White, Married-civ-spouse, Some-college, United-States, Private,Executive#1,-50000
43, Male, Black, Never-married, Some-college, United-States, Private,Skilled_Worker#1,-50000
46, Male, White, Married-spouse-absent, Some-college, Poland, Federal-gov,Housekeeper#1,-50000
19, Female, White, Divorced, HS-grad, United-States, Local-gov,Carrier#5,-50000
