age,sex,race,marital,education,country,typeEmployer,occupation,income
26, Female, White, Married-civ-spouse, Bachelors, Mexico, Private,Operator#2,-50000
36, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Operator#2,-50000
36, Male, White, Married-civ-spouse, Some-college, United-States, Private,Clerk#1,-50000
45, Female, White, Separated, HS-grad, United-States, State-gov,Guard#1,-50000
45, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Salesperson#1,-50000
46, Male, Black, Never-married, Bachelors, United-States, Federal-gov,Soldier#1,-50000
25, Female, White, Married-civ-spouse, Some-college, United-States, State-gov,Salesperson#1,50000+.
44, Male, White, Never-married, HS-grad, United-States, Federal-gov,Clerk#1,50000+.
56, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Soldier#1,-50000
53, Male, White, Married-civ-spouse, 10th, United-States, Private,Executive#1,50000+.
44, Female, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Housekeeper#1,-50000
48, Male, White, Married-civ-spouse, 5th-6th, Puerto-Rico, Private,Executive#1,-50000
26, Male, White, Never-married, Bachelors, Mexico, Private,Operator#2,-50000
45, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-inc,Carrier#5,-50000
48, Male, White, Widowed, Assoc-acdm, Mexico, Private,Craftsman#3,-50000
53, Male, Black, Married-civ-spouse, Assoc-voc, South, Private,Salesperson#1,-50000
30, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Worker#1,-50000
42, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Technician#1,-50000
57, Male, White, Married-civ-spouse, HS-grad, United-States, State-gov,Specialist#1,-50000
23, Male, Other, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Worker#1,50000+.
51, Male, White, Never-married, HS-grad, United-States, Private,Carrier#5,-50000
38, Female, White, Never-married, 10th, United-States, Private,Carrier#5,-50000
28, Male, White, Never-married, Some-college, United-States, Private,Skilled_Worker#1,-50000
28, Male, Asian-Pac-Islander, Married-civ-spouse, Assoc-acdm, United-States, Private,Cleaner#3,-50000
26, Female, White, Never-married, Assoc-acdm, United-States, Self-emp-not-inc,Operator#2,-50000
31, Male, White, Married-civ-spouse, Some-college, United-States, Private,Technician#1,-50000
28, Male, Black, Married-civ-spouse, Prof-school, United-States, Private,Clerk#1,-50000
46, Male, White, Married-civ-spouse, Bachelors, United-States, Self-emp-not-inc,Specialist#1,-50000
33, Male, White, Divorced, Some-college, United-States, Private,Carrier#5,-50000
32, Male, White, Never-married, Some-college, United-States, Private,Operator#2,-50000
35, Male, White, Never-married, Masters, United-States, Private,Cleaner#3,-50000
53, Male, White, Married-civ-spouse, 11th, United-States, Private,Carrier#5,50000+.
42, Male, White, Married-civ-spouse, Doctorate, United-States, Private,Guard#1,-50000
42, Male, White, Divorced, Some-college, United-States, Private,Executive#1,-50000
53, Male, Black, Married-civ-spouse, HS-grad, United-States, Private,Skilled_Worker#1,50000+.
72, Male, White, Widowed, Some-college, United-States, Private,Executive#1,-50000
56, Male, White, Never-married, Bachelors, United-States, Private,Clerk#1,-50000
29, Female, Amer-Indian-Eskimo, Married-civ-spouse, Some-college, United-States, Self-emp-inc,Operator#2,-50000
19, Male, White, Divorced, HS-grad, United-States, Private,Guard#1,-50000
56, Male, White, Divorced, HS-grad, United-States, Local-gov,Carrier#5,-50000
43, Male, White, Divorced, 12th, China, Federal-gov,Soldier#1,50000+.
36, Male, White, Never-married, HS-grad, United-States, Private,Technician#1,-50000
35, Male, Black, Married-civ-spouse, Bachelors, United-States, Private,Technician#1,50000+.
50, Male, White, Never-married, Bachelors, United-States, Private,Clerk#1,50000+.
27, Male, White, Never-married, HS-grad, United-States, Private,Craftsman#3,-50000
30, Male, Amer-Indian-Eskimo, Married-civ-spouse, Masters, United-States, Federal-gov,Executive#1,-50000
44, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Craftsman#3,50000+.
25, Female, White, Divorced, Assoc-voc, United-States, Private,Clerk#1,-50000
49, Female, White, Never-married, Bachelors, United-States, Local-gov,Carrier#5,-50000
43, Male, White, Married-civ-spouse, Some-college, United-States, Private,Worker#1,-50000
30, Male, White, Never-married, HS-grad, United-States, Private,Executive#1,-50000
31, Male, White, Never-married, Assoc-acdm, United-States, Private,Guard#1,-50000
61, Male, White, Married-civ-spouse, 9th, United-States, Private,Specialist#1,-50000
60, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
