age,sex,race,marital,education,country,typeEmployer,occupation,income
39, Male, White, Never-married, Some-college, United-States, Local-gov,Craftsman#3,-50000
39, Male, Black, Married-civ-spouse, Assoc-voc, United-States, Federal-gov,Executive#1,-50000
67, Male, Black, Divorced, Some-college, United-States, Private,Carrier#5,-50000
24, Male, White, Never-married, HS-grad, United-States, Private,Carrier#5,50000+.
41, Female, White, Married-civ-spouse, Some-college, United-States, Private,Guard#1,50000+.
28, Male, White, Divorced, Some-college, United-States, Self-emp-inc,Craftsman#3,-50000
49, Male, White, Divorced, 11th, United-States, Private,Operator#2,-50000
28, Male, White, Married-civ-spouse, Bachelors, United-States, Self-emp-not-inc,Cleaner#3,-50000
24, Female, White, Never-married, Some-college, United-States, Private,Cleaner#3,50000+.
51, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Craftsman#3,50000+.
63, Male, White, Widowed, HS-grad, United-States, Local-gov,Executive#1,-50000
20, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Craftsman#3,50000+.
19, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Operator#2,50000+.
41, Male, White, Separated, Bachelors, United-States, Local-gov,Housekeeper#1,50000+.
53, Female, White, Never-married, Bachelors, United-States, Private,Carrier#5,-50000
29, Male, White, Never-married, Bachelors, United-States, Private,Housekeeper#1,-50000
48, Male, White, Never-married, HS-grad, United-States, Self-emp-not-inc,Cleaner#3,-50000
43, Male, White, Married-civ-spouse, Some-college, China, Local-gov,Carrier#5,-50000
20, Male, White, Never-married, Some-college, United-States, Private,Executive#1,-50000
26, Female, White, Married-civ-spouse, 9th, United-States, Private,Guard#1,-50000
52, Male, White, Never-married, HS-grad, United-States, Self-emp-not-inc,Cleaner#3,50000+.
43, Female, White, Married-civ-spouse, 11th, India, Self-emp-not-inc,Cleaner#3,-50000
42, Female, White, Never-married, 7th-8th, United-States, Private,Carrier#5,50000+.
64, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,50000+.
25, Male, White, Never-married, HS-grad, United-States, Self-emp-not-inc,Salesperson#1,50000+.
17, Female, White, Never-married, HS-grad, United-States, Self-emp-inc,Clerk#1,-50000
43, Male, White, Never-married, Some-college, United-States, Private,Housekeeper#1,50000+.
29, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
62, Male, White, Married-civ-spouse, Some-college, United-States, Self-emp-inc,Carrier#5,50000+.
55, Female, White, Married-civ-spouse, Some-college, United-States, Private,Carrier#5,-50000
64, Female, White, Never-married, HS-grad, Puerto-Rico, Private,Housekeeper#1,-50000
26, Female, White, Never-married, HS-grad, United-States, Private,Craftsman#3,-50000
50, Male, White, Married-civ-spouse, 7th-8th, United-States, Private,Clerk#1,50000+.
22, Male, White, Divorced, Some-college, United-States, Private,Salesperson#1,-50000
34, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Executive#1,-50000
23, Female, White, Divorced, HS-grad, United-States, Private,Clerk#1,-50000
23, Male, White, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,-50000
47, Male, White, Never-married, Preschool, United-States, Private,Executive#1,-50000
17, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Craftsman#3,-50000
24, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Craftsman#3,-50000
50, Male, White, Separated, Bachelors, United-States, Private,Guard#1,-50000
37, Male, White, Never-married, Some-college, United-States, Private,Craftsman#3,-50000
47, Female, White, Married-civ-spouse, Prof-school, United-States, Private,Craftsman#3,50000+.
39, Male, White, Never-married, HS-grad, Mexico, Private,Operator#2,-50000
30, Male, Black, Never-married, Some-college, Portugal, Private,Cleaner#3,50000+.
