age,sex,race,marital,education,country,typeEmployer,occupation,income
32, Female, White, Married-civ-spouse, Some-college, United-States, Private,Executive#1,-50000
52, Male, Black, Married-civ-spouse, Bachelors, United-States, Self-emp-not-inc,Clerk#1,-50000
27, Female, White, Never-married, Bachelors, United-States, Self-emp-not-inc,Cleaner#3,50000+.
46, Male, White, Never-married, HS-grad, United-States, Private,Cleaner#3,-50000
19, Male, White, Never-married, 7th-8th, United-States, Private,Clerk#1,-50000
57, Male, White, Married-civ-spouse, Some-college, United-States, Private,Housekeeper#1,50000+.
27, Male, Other, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,-50000
38, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Executive#1,-50000
36, Female, White, Divorced, HS-grad, United-States, Private,Operator#2,50000+.
30, Male, White, Never-married, Masters, United-States, Private,Cleaner#3,-50000
51, Male, Asian-Pac-Islander, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Craftsman#3,-50000
28, Male, White, Divorced, HS-grad, United-States, Private,Clerk#1,-50000
48, Male, White, Married-civ-spouse, Masters, United-States, Private,Executive#1,-50000
70, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Clerk#1,-50000
57, Male, White, Married-spouse-absent, Assoc-voc, United-States, State-gov,Specialist#1,-50000
34, Male, White, Married-civ-spouse, HS-grad, United-States, Local-gov,Cleaner#3,50000+.
58, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,-50000
27, Male, White, Never-married, HS-grad, United-States, Private,Executive#1,-50000
34, Female, White, Married-civ-spouse, Prof-school, United-States, Private,Clerk#1,-50000
17, Male, White, Never-married, HS-grad, Italy, Private,Housekeeper#1,-50000
38, Female, White, Married-civ-spouse, Prof-school, United-States, Private,Executive#1,-50000
47, Male, White, Divorced, Assoc-voc, United-States, Federal-gov,Skilled_Worker#1,50000+.
30, Male, White, Never-married, Bachelors, United-States, Local-gov,Cleaner#3,-50000
32, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,50000+.
29, Male, White, Married-civ-spouse, HS-grad, United-States, Local-gov,Craftsman#3,50000+.
29, Male, White, Divorced, HS-grad, United-States, Private,Clerk#1,50000+.
28, Male, White, Married-civ-spouse, Doctorate, United-States, Private,Salesperson#1,-50000
28, Male, White, Married-civ-spouse, 10th, United-States, Private,Salesperson#1,-50000
24, Male, White, Married-civ-spouse, Some-college, United-States, State-gov,Craftsman#3,50000+.
54, Male, White, Divorced, Some-college, United-States, Local-gov,Skilled_Worker#1,-50000
41, Male, White, Divorced, 11th, United-States, Private,Cleaner#3,-50000
26, Male, White, Never-married, 9th, United-States, Local-gov,Cleaner#3,50000+.
27, Male, Black, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,-50000
47, Male, White, Married-civ-spouse, HS-grad, United-States, State-gov,Clerk#1,-50000
34, Male, Asian-Pac-Islander, Married-civ-spouse, HS-grad, United-States, Private,Operator#2,-50000
24, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,-50000
38, Male, White, Never-married, Bachelors, United-States, Private,Clerk#1,50000+.
37, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Cleaner#3,-50000
34, Male, White, Married-civ-spouse, Assoc-acdm, United-States, Private,Guard#1,-50000
40, Female, White, Never-married, HS-grad, Germany, Self-emp-not-inc,Operator#2,50000+.
24, Male, White, Never-married, Prof-school, United-States, Private,Craftsman#3,-50000
40, Male, White, Never-married, Some-college, United-States, Private,Cleaner#3,50000+.
28, Male, Asian-Pac-Islander, Married-civ-spouse, Some-college, United-States, Private,Housekeeper#1,-50000
40, Male, White, Widowed, 5th-6th, United-States, Private,Executive#1,-50000
31, Male, White, Never-married, Masters, United-States, Private,Executive#1,-50000
33, Female, White, Married-civ-spouse, Some-college, United-States, Self-emp-not-inc,Carrier#5,-50000
35, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Salesperson#1,-50000
48, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Worker#1,-50000
47, Male, Black, Never-married, HS-grad, United-States, Private,Executive#1,50000+.
49, Female, White, Never-married, HS-grad, United-States, Private,Operator#2,-50000
25, Female, White, Never-married, HS-grad, United-States, Private,Carrier#5,-50000
36, Male, White, Married-civ-spouse, Some-college, United-States, Federal-gov,Guard#1,-50000
32, Female, White, Married-civ-spouse, Bachelors, United-States, Self-emp-not-inc,Craftsman#3,-50000
40, Male, White, Never-married, 11th, United-States, Private,Carrier#5,-50000
47, Male, White, Married-civ-spouse, Some-college, United-States, Private,Carrier#5,50000+.
26, Male, White, Married-civ-spouse, Bachelors, United-States, Local-gov,Housekeeper#1,50000+.
36, Male, White, Never-married, Bachelors, United-States, State-gov,Salesperson#1,-50000
47, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Technician#1,-50000
63, Female, Black, Married-civ-spouse, HS-grad, Philippines, Private,Soldier#1,-50000
59, Male, White, Never-married, Bachelors, United-States, Local-gov,Specialist#1,-50000
19, Male, White, Never-married, Assoc-acdm, United-States, Private,Cleaner#3,-50000
43, Male, White, Never-married, Some-college, United-States, State-gov,Craftsman#3,-50000
25, Male, White, Married-civ-spouse, Assoc-voc, United-States, Private,Clerk#1,-50000
61, Male, Black, Never-married, Some-college, United-States, Private,Clerk#1,50000+.
60, Female, White, Divorced, Bachelors, United-States, Private,Salesperson#1,50000+.
51, Female, White, Divorced, Some-college, United-States, State-gov,Craftsman#3,-50000
31, Female, White, Never-married, Some-college, United-States, Private,Clerk#1,-50000
74, Male, White, Divorced, HS-grad, United-States, Private,Executive#1,50000+.
32, Male, White, Never-married, HS-grad, United-States, Private,Craftsman#3,50000+.
35, Female, White, Separated, HS-grad, Nicaragua, Local-gov,Housekeeper#1,50000+.
44, Male, White, Never-married, Bachelors, United-States, Private,Carrier#5,50000+.
28, Male, Asian-Pac-Islander, Married-spouse-absent, Masters, Ireland, Private,Carrier#5,50000+.
44, Female, White, Never-married, Assoc-acdm, United-States, Self-emp-inc,Salesperson#1,-50000
20, Male, White, Widowed, Some-college, United-States, Private,Soldier#1,-50000
49, Male, White, Married-civ-spouse, Doctorate, United-States, Private,Clerk#1,-50000
31, Male, White, Separated, 10th, United-States, State-gov,Craftsman#3,-50000
32, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Soldier#1,-50000
33, Male, White, Divorced, HS-grad, United-States, Private,Salesperson#1,-50000
40, Female, White, Never-married, HS-grad, United-States, Self-emp-not-inc,Soldier#1,-50000
27, Male, White, Separated, 5th-6th, United-States, Self-emp-not-inc,Salesperson#1,50000+.
48, Male, Black, Never-married, Some-college, United-States, Private,Carrier#5,-50000
18, Male, White, Never-married, Masters, United-States, Self-emp-inc,Technician#1,-50000
24, Male, White, Never-married, Masters, Mexico, Self-emp-inc,Guard#1,-50000
56, Male, White, Married-civ-spouse, Masters, Japan, Private,Carrier#5,-50000
29, Male, White, Divorced, HS-grad, United-States, Private,Clerk#1,-50000
67, Male, White, Never-married, Some-college, United-States, Private,Soldier#1,50000+.
40, Male, White, Never-married, Some-college, United-States, Private,Carrier#5,50000+.
48, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Cleaner#3,-50000
49, Female, White, Married-civ-spouse, Prof-school, United-States, Private,Clerk#1,-50000
44, Male, White, Married-civ-spouse, Prof-school, United-States, Private,Housekeeper#1,-50000
49, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,-50000
45, Male, Black, Married-civ-spouse, 11th, United-States, Local-gov,Operator#2,-50000
36, Male, White, Married-civ-spouse, Assoc-acdm, United-States, Self-emp-not-inc,Guard#1,50000+.
25, Female, White, Widowed, Bachelors, United-States, Self-emp-not-inc,Clerk#1,50000+.
33, Male, White, Married-civ-spouse, Some-college, United-States, Private,Housekeeper#1,-50000
41, Male, White, Never-married, Masters, United-States, Local-gov,Carrier#5,-50000
21, Female, White, Never-married, HS-grad, United-States, Local-gov,Clerk#1,-50000
41, Male, White, Never-married, Bachelors, El-Salvador, Private,Soldier#1,-50000
44, Male, White, Divorced, Some-college, United-States, Private,Specialist#1,50000+.
40, Female, White, Never-married, Some-college, United-States, Private,Salesperson#1,50000+.
35, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Guard#1,50000+.
28, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Executive#1,-50000
28, Female, White, Divorced, HS-grad, United-States, Private,Clerk#1,-50000
24, Female, White, Never-married, Some-college, United-States, Private,Carrier#5,-50000
31, Female, White, Widowed, HS-grad, United-States, Private,Carrier#5,-50000
36, Female, White, Married-civ-spouse, Bachelors, United-States, Self-emp-not-inc,Clerk#1,-50000
60, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,50000+.
54, Male, Asian-Pac-Islander, Married-civ-spouse, HS-grad, United-States, Private,Craftsman#3,-50000
30, Male, Asian-Pac-Islander, Never-married, 11th, United-States, Private,Executive#1,50000+.
19, Male, White, Never-married, Bachelors, United-States, Private,Soldier#1,-50000
35, Male, White, Divorced, Bachelors, United-States, Private,Craftsman#3,-50000
18, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Soldier#1,-50000
24, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Guard#1,-50000
72, Male, White, Never-married, Masters, United-States, Private,Cleaner#3,-50000
50, Male, White, Married-civ-spouse, HS-grad, United-States, Federal-gov,Clerk#1,-50000
39, Female, White, Divorced, Masters, United-States, Private,Craftsman#3,-50000
29, Male, Black, Married-civ-spouse, HS-grad, United-States, Private,Operator#2,50000+.
30, Male, White, Never-married, HS-grad, United-States, Private,Clerk#1,-50000
31, Male, White, Married-civ-spouse, Bachelors, United-States, Federal-gov,Craftsman#3,50000+.
49, Male, White, Married-civ-spouse, HS-grad, India, State-gov,Operator#2,-50000
30, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Guard#1,-50000
32, Female, White, Married-civ-spouse, 5th-6th, United-States, Local-gov,Technician#1,-50000
41, Male, White, Widowed, HS-grad, United-States, Private,Craftsman#3,-50000
19, Male, White, Married-civ-spouse, Some-college, United-States, State-gov,Craftsman#3,-50000
29, Female, White, Divorced, HS-grad, United-States, Private,Cleaner#3,50000+.
44, Female, White, Married-civ-spouse, Some-college, United-States, Private,Carrier#5,50000+.
65, Male, Black, Never-married, HS-grad, United-States, Local-gov,Craftsman#3,50000+.
43, Male, White, Never-married, Some-college, United-States, Private,Executive#1,-50000
38, Male, White, Divorced, Assoc-voc, United-States, Private,Executive#1,50000+.
55, Male, White, Divorced, Some-college, United-States, Private,Executive#1,50000+.
78, Female, White, Never-married, HS-grad, United-States, Private,Craftsman#3,50000+.
52, Male, White, Divorced, HS-grad, United-States, Private,Cleaner#3,-50000
23, Female, White, Divorced, Bachelors, United-States, State-gov,Guard#1,50000+.
34, Male, White, Divorced, 12th, United-States, Private,Cleaner#3,50000+.
35, Male, White, Married-civ-spouse, Some-college, United-States, Self-emp-not-inc,Craftsman#3,-50000
70, Male, White, Never-married, Some-college, Mexico, Private,Soldier#1,-50000
38, Female, White, Never-married, HS-grad, United-States, Private,Housekeeper#1,-50000
35, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Carrier#5,-50000
18, Male, Black, Married-civ-spouse, Some-college, United-States, Private,Carrier#5,-50000
47, Male, White, Widowed, HS-grad, United-States, Private,Cleaner#3,-50000
47, Male, White, Married-civ-spouse, HS-grad, Peru, Self-emp-not-inc,Salesperson#1,-50000
34, Male, Black, Married-civ-spouse, Bachelors, United-States, Private,Soldier#1,-50000
63, Male, White, Never-married, Some-college, Dominican-Republic, Local-gov,Guard#1,-50000
21, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Carrier#5,50000+.
34, Female, White, Married-civ-spouse, 9th, United-States, Private,Carrier#5,-50000
41, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Executive#1,-50000
44, Male, White, Married-civ-spouse, Bachelors, Dominican-Republic, Private,Guard#1,50000+.
34, Female, White, Married-civ-spouse, Bachelors, United-States, Local-gov,Executive#1,50000+.
29, Male, White, Never-married, Bachelors, Mexico, Private,Housekeeper#1,50000+.
30, Male, White, Never-married, Bachelors, United-States, Local-gov,Soldier#1,-50000
43, Male, White, Never-married, HS-grad, United-States, Private,Executive#1,-50000
41, Male, White, Divorced, HS-grad, United-States, Private,Guard#1,-50000
37, Female, White, Divorced, 11th, United-States, Private,Carrier#5,-50000
36, Male, White, Married-civ-spouse, 11th, United-States, Private,Salesperson#1,-50000
38, Male, Black, Divorced, HS-grad, United-States, Private,Carrier#5,-50000
42, Male, White, Married-civ-spouse, Some-college, United-States, Private,Soldier#1,-50000
42, Male, White, Married-civ-spouse, Doctorate, Philippines, Self-emp-not-inc,Craftsman#3,-50000
45, Male, Black, Divorced, Bachelors, United-States, Private,Executive#1,-50000
44, Male, White, Separated, HS-grad, United-States, Private,Salesperson#1,-50000
65, Male, White, Divorced, Bachelors, United-States, Private,Guard#1,-50000
34, Male, White, Never-married, Some-college, United-States, Private,Carrier#5,-50000
32, Male, White, Never-married, HS-grad, United-States, Private,Executive#1,-50000
22, Male, White, Never-married, HS-grad, United-States, Private,Housekeeper#1,-50000
63, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,-50000
42, Male, White, Married-civ-spouse, Assoc-acdm, United-States, Private,Soldier#1,-50000
49, Male, White, Married-civ-spouse, 12th, Poland, Private,Clerk#1,-50000
64, Female, White, Never-married, Assoc-acdm, United-States, Private,Housekeeper#1,-50000
54, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
64, Male, White, Married-civ-spouse, Assoc-voc, United-States, Private,Carrier#5,50000+.
29, Male, White, Never-married, HS-grad, United-States, Local-gov,Craftsman#3,50000+.
59, Female, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Craftsman#3,50000+.
58, Male, White, Never-married, Some-college, United-States, Private,Cleaner#3,-50000
34, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,-50000
43, Female, White, Divorced, Some-college, United-States, Private,Housekeeper#1,-50000
24, Female, White, Separated, HS-grad, United-States, Federal-gov,Operator#2,-50000
56, Male, White, Widowed, HS-grad, Vietnam, Private,Carrier#5,-50000
50, Female, White, Married-civ-spouse, Assoc-voc, United-States, Federal-gov,Clerk#1,-50000
27, Female, White, Widowed, HS-grad, United-States, Self-emp-not-inc,Carrier#5,50000+.
52, Male, White, Married-civ-spouse, Bachelors, United-States, Local-gov,Technician#1,-50000
21, Female, White, Never-married, Bachelors, United-States, Private,Operator#2,50000+.
38, Male, White, Never-married, Bachelors, United-States, Private,Guard#1,-50000
56, Female, White, Married-civ-spouse, Some-college, United-States, Private,Operator#2,-50000
24, Male, White, Married-civ-spouse, Assoc-acdm, United-States, Private,Soldier#1,-50000
36, Female, White, Never-married, Bachelors, United-States, Private,Housekeeper#1,-50000
26, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Salesperson#1,50000+.
37, Male, Black, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,50000+.
31, Female, White, Never-married, Assoc-acdm, United-States, Private,Craftsman#3,50000+.
30, Female, Asian-Pac-Islander, Married-spouse-absent, Some-college, United-States, Private,Clerk#1,50000+.
33, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Operator#2,-50000
25, Male, White, Married-civ-spouse, Some-college, United-States, Private,Housekeeper#1,-50000
58, Male, White, Never-married, 12th, United-States, Private,Cleaner#3,-50000
27, Male, White, Separated, HS-grad, United-States, Private,Craftsman#3,-50000
60, Male, Black, Married-civ-spouse, Assoc-voc, Mexico, Private,Housekeeper#1,-50000
27, Male, White, Never-married, Some-college, United-States, Private,Clerk#1,-50000
22, Male, White, Never-married, 7th-8th, United-States, Private,Carrier#5,-50000
43, Female, White, Never-married, Bachelors, United-States, Self-emp-not-inc,Operator#2,-50000
49, Female, White, Never-married, Some-college, United-States, Private,Salesperson#1,50000+.
47, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Skilled_Worker#1,50000+.
22, Male, White, Divorced, Prof-school, United-States, State-gov,Guard#1,-50000
43, Female, Other, Separated, Some-college, United-States, Private,Carrier#5,50000+.
24, Female, White, Married-civ-spouse, Some-college, United-States, Self-emp-inc,Clerk#1,50000+.
34, Female, White, Married-civ-spouse, Assoc-voc, United-States, Private,Executive#1,-50000
66, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Executive#1,-50000
