age,sex,race,marital,education,country,typeEmployer,occupation,income
51, Male, White, Married-civ-spouse, Masters, Haiti, Private,Craftsman#3,-50000
51, Male, White, Divorced, Some-college, Philippines, Private,Carrier#5,-50000
33, Male, White, Never-married, Some-college, United-States, Self-emp-not-inc,Craftsman#3,-50000
50, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,-50000
63, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Executive#1,-50000
33, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Housekeeper#1,-50000
53, Female, Amer-Indian-Eskimo, Married-civ-spouse, Assoc-acdm, United-States, Private,Carrier#5,-50000
44, Male, White, Married-civ-spouse, Assoc-acdm, United-States, Private,Guard#1,-50000
24, Male, White, Never-married, HS-grad, United-States, Private,Carrier#5,-50000
57, Male, White, Never-married, HS-grad, United-States, Self-emp-inc,Carrier#5,-50000
47, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
41, Female, White, Never-married, HS-grad, United-States, Private,Housekeeper#1,-50000
21, Male, White, Divorced, HS-grad, United-States, Private,Guard#1,-50000
26, Male, Black, Never-married, Assoc-voc, United-States, Private,Clerk#1,50000+.
35, Male, White, Married-civ-spouse, Assoc-acdm, United-States, Private,Carrier#5,-50000
28, Male, Asian-Pac-Islander, Married-civ-spouse, HS-grad, Poland, Private,Cleaner#3,50000+.
26, Female, White, Married-civ-spouse, Some-college, United-States, Private,Craftsman#3,-50000
53, Male, White, Married-civ-spouse, Some-college, Vietnam, Private,Guard#1,-50000
35, Male, White, Divorced, Masters, Philippines, Self-emp-not-inc,Carrier#5,-50000
71, Female, White, Never-married, HS-grad, United-States, Private,Salesperson#1,-50000
37, Male, White, Never-married, HS-grad, United-States, Private,Executive#1,-50000
49, Female, White, Never-married, Some-college, United-States, Private,Housekeeper#1,-50000
35, Female, White, Never-married, HS-grad, United-States, Federal-gov,Operator#2,50000+.
23, Male, White, Separated, 11th, United-States, Private,Clerk#1,-50000
40, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Cleaner#3,-50000
73, Male, White, Divorced, HS-grad, United-States, Private,Clerk#1,-50000
37, Male, White, Married-civ-spouse, Assoc-voc, United-States, Private,Cleaner#3,-50000
23, Male, White, Never-married, Masters, United-States, Private,Cleaner#3,-50000
26, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Clerk#1,-50000
56, Female, White, Married-civ-spouse, Assoc-voc, United-States, Private,Cleaner#3,-50000
60, Male, White, Married-civ-spouse, Some-college, United-States, Self-emp-not-inc,Executive#1,-50000
60, Female, Black, Divorced, Some-college, United-States, Private,Clerk#1,-50000
23, Female, White, Never-married, Assoc-voc, United-States, Private,Carrier#5,-50000
52, Female, Black, Never-married, 7th-8th, United-States, Private,Clerk#1,-50000
28, Male, White, Never-married, HS-grad, United-States, Private,Clerk#1,-50000
32, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,50000+.
35, Male, Black, Never-married, Masters, United-States, Private,Executive#1,-50000
22, Female, White, Never-married, Masters, United-States, Private,Guard#1,-50000
23, Female, White, Married-civ-spouse, Some-college, United-States, Federal-gov,Craftsman#3,-50000
36, Female, White, Never-married, Doctorate, United-States, Private,Clerk#1,-50000
32, Female, White, Married-civ-spouse, HS-grad, United-States, Self-emp-inc,Housekeeper#1,-50000
43, Male, White, Never-married, Some-college, United-States, Private,Guard#1,50000+.
19, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,-50000
25, Male, White, Married-AF-spouse, Some-college, United-States, Private,Clerk#1,-50000
49, Male, White, Never-married, Assoc-acdm, United-States, Private,Cleaner#3,-50000
58, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,-50000
22, Female, White, Married-civ-spouse, Some-college, United-States, Private,Housekeeper#1,-50000
39, Female, White, Married-civ-spouse, 10th, United-States, Private,Craftsman#3,-50000
54, Male, White, Married-civ-spouse, 5th-6th, Dominican-Republic, Private,Craftsman#3,50000+.
51, Female, White, Never-married, HS-grad, United-States, Private,Cleaner#3,-50000
26, Female, White, Divorced, Some-college, United-States, Private,Clerk#1,-50000
44, Female, White, Divorced, Some-college, United-States, Private,Carrier#5,-50000
28, Female, White, Separated, Some-college, United-States, Private,Carrier#5,-50000
22, Male, White, Divorced, Assoc-acdm, United-States, Private,Housekeeper#1,50000+.
36, Female, White, Married-civ-spouse, Some-college, United-States, Self-emp-not-inc,Clerk#1,-50000
35, Female, White, Never-married, Some-college, United-States, Private,Clerk#1,-50000
51, Male, Black, Divorced, Some-college, United-States, Private,Guard#1,-50000
23, Male, White, Married-civ-spouse, Masters, United-States, Private,Cleaner#3,-50000
38, Male, White, Divorced, HS-grad, United-States, Self-emp-not-inc,Guard#1,50000+.
39, Male, Black, Never-married, Masters, United-States, Private,Clerk#1,-50000
39, Male, White, Never-married, HS-grad, United-States, Private,Carrier#5,-50000
51, Female, White, Never-married, Bachelors, United-States, Private,Cleaner#3,-50000
25, Female, White, Divorced, Some-college, United-States, Private,Operator#2,50000+.
58, Male, White, Divorced, Some-college, Yugoslavia, Private,Housekeeper#1,-50000
29, Male, White, Divorced, Bachelors, United-States, Private,Salesperson#1,-50000
49, Male, White, Never-married, 1st-4th, United-States, Private,Clerk#1,-50000
36, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Skilled_Worker#1,-50000
32, Male, Asian-Pac-Islander, Married-civ-spouse, HS-grad, United-States, Self-emp-inc,Guard#1,50000+.
38, Male, White, Never-married, Bachelors, United-States, Private,Carrier#5,-50000
32, Male, White, Never-married, HS-grad, United-States, Private,Carrier#5,-50000
27, Male, White, Married-civ-spouse, Bachelors, Mexico, Local-gov,Clerk#1,-50000
25, Female, White, Never-married, Bachelors, United-States, Self-emp-inc,Executive#1,-50000
21, Male, White, Married-civ-spouse, Some-college, United-States, Private,Housekeeper#1,50000+.
37, Female, Black, Separated, Assoc-acdm, United-States, Private,Skilled_Worker#1,-50000
36, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Carrier#5,-50000
18, Male, White, Never-married, HS-grad, United-States, Private,Clerk#1,-50000
46, Male, White, Never-married, Some-college, Philippines, Private,Carrier#5,-50000
36, Female, White, Divorced, Some-college, United-States, Private,Executive#1,-50000
45, Male, White, Divorced, HS-grad, United-States, Private,Carrier#5,-50000
32, Male, Amer-Indian-Eskimo, Never-married, HS-grad, United-States, Self-emp-not-inc,Housekeeper#1,50000+.
20, Female, White, Never-married, Some-college, United-States, Private,Cleaner#3,-50000
41, Male, White, Never-married, HS-grad, United-States, Private,Clerk#1,-50000
49, Male, White, Never-married, Assoc-acdm, United-States, Self-emp-not-inc,Clerk#1,-50000
48, Male, White, Never-married, HS-grad, United-States, Private,Cleaner#3,-50000
57, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,-50000
22, Male, White, Divorced, Bachelors, Canada, Private,Cleaner#3,-50000
39, Male, White, Never-married, HS-grad, United-States, Self-emp-not-inc,Carrier#5,-50000
43, Male, White, Married-civ-spouse, Assoc-voc, United-States, Private,Executive#1,-50000
22, Male, White, Never-married, HS-grad, United-States, Private,Housekeeper#1,-50000
33, Male, White, Divorced, Some-college, United-States, Private,Operator#2,-50000
25, Male, White, Married-civ-spouse, Some-college, United-States, Private,Guard#1,-50000
28, Male, White, Married-civ-spouse, Some-college, United-States, Private,Carrier#5,-50000
24, Male, Black, Divorced, Some-college, United-States, Private,Clerk#1,-50000
25, Male, White, Married-civ-spouse, HS-grad, United-States, Local-gov,Guard#1,-50000
64, Male, White, Never-married, HS-grad, United-States, Private,Cleaner#3,-50000
20, Male, White, Divorced, Assoc-voc, United-States, Private,Carrier#5,-50000
55, Male, White, Married-civ-spouse, 7th-8th, Mexico, Private,Clerk#1,-50000
63, Male, White, Married-civ-spouse, Prof-school, United-States, Private,Cleaner#3,-50000
53, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Cleaner#3,-50000
32, Male, White, Never-married, HS-grad, United-States, Private,Carrier#5,-50000
22, Male, White, Divorced, HS-grad, United-States, Private,Executive#1,-50000
34, Male, White, Divorced, 11th, United-States, Private,Executive#1,-50000
64, Female, White, Never-married, 10th, United-States, Private,Carrier#5,-50000
42, Female, White, Never-married, 11th, United-States, Private,Carrier#5,-50000
48, Male, Black, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
38, Male, White, Married-civ-spouse, 5th-6th, United-States, Private,Clerk#1,-50000
22, Male, White, Married-civ-spouse, Some-college, United-States, Private,Salesperson#1,-50000
36, Male, White, Divorced, Some-college, United-States, Self-emp-not-inc,Guard#1,50000+.
25, Male, White, Married-civ-spouse, 7th-8th, United-States, Private,Craftsman#3,-50000
46, Male, White, Divorced, HS-grad, United-States, Private,Cleaner#3,-50000
