age,sex,race,marital,education,country,typeEmployer,occupation,income
38, Male, White, Widowed, HS-grad, United-States, Self-emp-not-inc,Housekeeper#1,-50000
24, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
58, Female, White, Never-married, HS-grad, United-States, Private,Executive#1,50000+.
49, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-inc,Housekeeper#1,-50000
54, Male, White, Never-married, Some-college, United-States, Local-gov,Clerk#1,50000+.
17, Male, White, Never-married, 11th, United-States, Private,Carrier#5,-50000
25, Male, White, Never-married, Bachelors, United-States, Private,Cleaner#3,-50000
31, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,-50000
66, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Carrier#5,50000+.
45, Female, White, Married-civ-spouse, Prof-school, Mexico, State-gov,Clerk#1,50000+.
32, Male, Black, Divorced, Bachelors, United-States, Private,Craftsman#3,50000+.
50, Female, White, Never-married, HS-grad, United-States, Private,Craftsman#3,50000+.
19, Male, White, Married-civ-spouse, Some-college, United-States, Private,Executive#1,-50000
46, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Guard#1,-50000
56, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Executive#1,-50000
49, Male, White, Never-married, Some-college, Guatemala, Private,Guard#1,-50000
74, Male, White, Married-civ-spouse, Assoc-voc, United-States, Private,Craftsman#3,50000+.
22, Female, White, Widowed, Bachelors, United-States, Private,Executive#1,-50000
44, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Operator#2,-50000
65, Male, White, Divorced, Some-college, United-States, Private,Executive#1,50000+.
74, Female, White, Married-civ-spouse, Some-college, United-States, Private,Clerk#1,-50000
31, Male, Black, Married-civ-spouse, Some-college, United-States, Private,Craftsman#3,-50000
28, Male, White, Never-married, Bachelors, United-States, Local-gov,Operator#2,-50000
60, Female, White, Married-civ-spouse, Assoc-voc, United-States, Self-emp-not-inc,Cleaner#3,-50000
24, Male, Asian-Pac-Islander, Married-civ-spouse, HS-grad, United-States, Local-gov,Executive#1,-50000
48, Female, White, Married-civ-spouse, Assoc-voc, United-States, Private,Cleaner#3,50000+.
31, Male, White, Never-married, HS-grad, United-States, Private,Carrier#5,-50000
40, Male, White, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,50000+.
27, Female, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Cleaner#3,-50000
56, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Craftsman#3,50000+.
41, Male, White, Never-married, HS-grad, United-States, Private,Carrier#5,-50000
34, Female, White, Divorced, Prof-school, United-States, Private,Guard#1,-50000
28, Female, White, Married-civ-spouse, Masters, United-States, Private,Cleaner#3,-50000
29, Male, White, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,-50000
58, Male, White, Married-civ-spouse, Some-college, United-States, Private,Clerk#1,-50000
20, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,50000+.
48, Male, Black, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,-50000
32, Female, White, Married-civ-spouse, HS-grad, United-States, Federal-gov,Carrier#5,-50000
55, Male, White, Never-married, 9th, United-States, Self-emp-not-inc,Executive#1,-50000
70, Male, White, Never-married, Some-college, United-States, Self-emp-inc,Cleaner#3,-50000
42, Male, White, Never-married, Masters, United-States, Private,Craftsman#3,-50000
24, Male, White, Divorced, Prof-school, United-States, Private,Clerk#1,50000+.
50, Female, Asian-Pac-Islander, Never-married, HS-grad, United-States, Local-gov,Housekeeper#1,50000+.
37, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Carrier#5,-50000
33, Male, White, Never-married, Some-college, United-States, Private,Carrier#5,-50000
38, Male, White, Widowed, HS-grad, United-States, Private,Clerk#1,-50000
43, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Executive#1,-50000
53, Male, White, Never-married, HS-grad, United-States, Private,Cleaner#3,-50000
52, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Guard#1,-50000
38, Female, Other, Married-civ-spouse, 11th, United-States, Private,Clerk#1,50000+.
24, Female, White, Married-civ-spouse, 10th, United-States, Federal-gov,Executive#1,50000+.
30, Female, White, Never-married, Some-college, Puerto-Rico, Private,Executive#1,-50000
21, Male, White, Married-civ-spouse, Assoc-acdm, United-States, Private,Carrier#5,50000+.
21, Male, White, Married-civ-spouse, Some-college, Mexico, Private,Housekeeper#1,-50000
19, Male, White, Never-married, Bachelors, United-States, Private,Carrier#5,50000+.
44, Male, White, Never-married, HS-grad, United-States, Self-emp-not-inc,Executive#1,-50000
37, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Executive#1,50000+.
19, Male, Asian-Pac-Islander, Married-civ-spouse, Bachelors, United-States, Private,Carrier#5,-50000
36, Male, White, Never-married, HS-grad, United-States, Private,Guard#1,50000+.
46, Male, White, Married-civ-spouse, Masters, United-States, Self-emp-not-inc,Craftsman#3,-50000
23, Male, White, Divorced, Assoc-acdm, United-States, Local-gov,Operator#2,50000+.
48, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Operator#2,-50000
48, Female, White, Never-married, Some-college, United-States, Local-gov,Guard#1,50000+.
21, Male, White, Divorced, Masters, United-States, Self-emp-inc,Housekeeper#1,-50000
32, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Guard#1,-50000
42, Female, White, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,-50000
56, Female, Asian-Pac-Islander, Married-civ-spouse, HS-grad, United-States, Private,Craftsman#3,-50000
23, Female, White, Never-married, Bachelors, United-States, Private,Guard#1,-50000
51, Female, White, Never-married, HS-grad, United-States, Private,Guard#1,-50000
47, Male, White, Married-civ-spouse, Some-college, Mexico, Private,Clerk#1,50000+.
41, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Executive#1,-50000
40, Female, White, Never-married, Bachelors, United-States, Private,Craftsman#3,-50000
43, Female, White, Never-married, HS-grad, United-States, Private,Clerk#1,-50000
22, Male, White, Married-civ-spouse, HS-grad, United-States, State-gov,Clerk#1,-50000
29, Female, White, Married-civ-spouse, Masters, United-States, Self-emp-inc,Carrier#5,-50000
61, Female, White, Never-married, Some-college, United-States, Private,Clerk#1,-50000
40, Male, White, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,-50000
43, Male, White, Married-civ-spouse, Assoc-voc, United-States, Federal-gov,Cleaner#3,-50000
31, Male, White, Never-married, Bachelors, United-States, State-gov,Executive#1,-50000
46, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
27, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Clerk#1,-50000
24, Male, White, Married-civ-spouse, Some-college, United-States, Private,Craftsman#3,-50000
49, Male, Black, Divorced, HS-grad, United-States, Private,Guard#1,-50000
25, Male, White, Married-civ-spouse, Masters, United-States, Self-emp-inc,Clerk#1,-50000
36, Female, White, Widowed, HS-grad, Mexico, Private,Housekeeper#1,-50000
27, Male, Black, Separated, HS-grad, Mexico, Local-gov,Operator#2,-50000
55, Male, White, Separated, HS-grad, United-States, State-gov,Cleaner#3,50000+.
37, Male, Black, Divorced, Some-college, United-States, Self-emp-inc,Craftsman#3,50000+.
17, Male, White, Married-civ-spouse, Assoc-voc, United-States, Private,Clerk#1,50000+.
46, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Housekeeper#1,50000+.
41, Male, White, Never-married, HS-grad, United-States, Private,Clerk#1,-50000
19, Male, White, Married-civ-spouse, Some-college, United-States, Private,Salesperson#1,-50000
23, Male, White, Never-married, Bachelors, United-States, Private,Craftsman#3,-50000
28, Female, White, Married-civ-spouse, Prof-school, United-States, Private,Executive#1,-50000
40, Male, White, Never-married, Some-college, United-States, State-gov,Cleaner#3,50000+.
21, Male, White, Widowed, Doctorate, United-States, Private,Executive#1,50000+.
45, Male, White, Married-civ-spouse, Assoc-acdm, United-States, Private,Clerk#1,-50000
48, Male, White, Married-spouse-absent, HS-grad, United-States, Private,Guard#1,-50000
46, Male, White, Divorced, Masters, United-States, Private,Carrier#5,-50000
40, Female, White, Widowed, 7th-8th, United-States, Private,Operator#2,-50000
50, Male, White, Divorced, HS-grad, United-States, Private,Clerk#1,-50000
43, Female, Black, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,50000+.
45, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Housekeeper#1,-50000
32, Male, White, Never-married, HS-grad, United-States, State-gov,Carrier#5,50000+.
66, Female, White, Never-married, 7th-8th, United-States, Private,Carrier#5,-50000
36, Male, White, Widowed, HS-grad, United-States, State-gov,Cleaner#3,-50000
19, Male, White, Never-married, HS-grad, United-States, Self-emp-not-inc,Cleaner#3,-50000
54, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Guard#1,50000+.
37, Male, White, Never-married, HS-grad, United-States, Local-gov,Guard#1,-50000
27, Female, White, Never-married, HS-grad, United-States, Private,Operator#2,-50000
33, Male, White, Never-married, Bachelors, United-States, Private,Carrier#5,-50000
19, Male, White, Married-civ-spouse, 10th, United-States, Federal-gov,Cleaner#3,-50000
31, Male, White, Married-civ-spouse, Bachelors, Germany, Local-gov,Clerk#1,50000+.
40, Male, White, Never-married, Some-college, United-States, Local-gov,Carrier#5,-50000
21, Male, Black, Married-civ-spouse, Bachelors, United-States, Private,Clerk#1,50000+.
56, Male, Black, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,50000+.
73, Male, White, Divorced, Some-college, United-States, Private,Cleaner#3,-50000
36, Male, White, Married-civ-spouse, Some-college, United-States, Self-emp-not-inc,Cleaner#3,-50000
39, Male, White, Married-civ-spouse, Some-college, United-States, Private,Operator#2,50000+.
28, Female, White, Separated, 7th-8th, United-States, Self-emp-not-inc,Cleaner#3,50000+.
26, Male, White, Married-civ-spouse, Some-college, United-States, Private,Craftsman#3,-50000
37, Female, White, Married-civ-spouse, 12th, United-States, Private,Cleaner#3,-50000
43, Male, White, Never-married, Some-college, United-States, Private,Cleaner#3,-50000
25, Female, White, Never-married, 10th, United-States, Self-emp-not-inc,Carrier#5,-50000
34, Male, White, Never-married, HS-grad, United-States, State-gov,Carrier#5,-50000
33, Male, White, Married-civ-spouse, Masters, United-States, Private,Carrier#5,-50000
25, Male, White, Never-married, Assoc-acdm, United-States, Federal-gov,Craftsman#3,50000+.
36, Female, White, Separated, Some-college, United-States, Private,Carrier#5,-50000
38, Female, White, Married-civ-spouse, Masters, United-States, Private,Housekeeper#1,-50000
44, Female, White, Never-married, HS-grad, Mexico, Private,Craftsman#3,50000+.
