age,sex,race,marital,education,country,typeEmployer,occupation,income
40, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Clerk#1,-50000
20, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Cleaner#3,-50000
46, Male, White, Never-married, HS-grad, United-States, Private,Specialist#1,-50000
47, Female, White, Separated, 11th, United-States, Private,Craftsman#3,-50000
46, Female, White, Never-married, Some-college, United-States, Self-emp-not-inc,Salesperson#1,-50000
17, Male, White, Never-married, Assoc-voc, United-States, Private,Housekeeper#1,50000+.
21, Male, White, Married-civ-spouse, Assoc-acdm, United-States, State-gov,Cleaner#3,-50000
58, Male, White, Divorced, HS-grad, United-States, Self-emp-not-inc,Worker#1,-50000
36, Male, White, Never-married, Doctorate, United-States, Private,Housekeeper#1,-50000
66, Male, White, Married-civ-spouse, Assoc-voc, United-States, Private,Guard#1,-50000
49, Female, White, Married-civ-spouse, HS-grad, United-States, State-gov,Worker#1,-50000
34, Male, White, Divorced, Bachelors, United-States, Self-emp-not-inc,Salesperson#1,-50000
38, Male, White, Divorced, HS-grad, United-States, Private,Guard#1,-50000
34, Male, Black, Divorced, Some-college, United-States, State-gov,Executive#1,50000+.
49, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Skilled_Worker#1,-50000
40, Female, Asian-Pac-Islander, Never-married, HS-grad, United-States, Private,Guard#1,50000+.
28, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Soldier#1,-50000
47, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Salesperson#1,50000+.
54, Male, White, Married-civ-spouse, Prof-school, United-States, Private,Housekeeper#1,-50000
28, Female, White, Never-married, Masters, United-States, Private,Worker#1,-50000
18, Male, White, Never-married, Masters, United-States, Private,Soldier#1,-50000
40, Female, Asian-Pac-Islander, Married-civ-spouse, Some-college, United-States, Private,Salesperson#1,-50000
40, Male, White, Never-married, HS-grad, United-States, Private,Skilled_Worker#1,-50000
39, Male, White, Never-married, 10th, United-States, Private,Operator#2,-50000
27, Male, White, Married-civ-spouse, Bachelors, United-States, Self-emp-inc,Salesperson#1,50000+.
30, Female, White, Never-married, Bachelors, United-States, Private,Executive#1,-50000
75, Male, White, Married-civ-spouse, Bachelors, Puerto-Rico, Private,Soldier#1,-50000
56, Male, White, Married-civ-spouse, Some-college, Mexico, Federal-gov,Carrier#5,-50000
37, Male, White, Divorced, HS-grad, United-States, Self-emp-not-inc,Soldier#1,-50000
34, Female, Black, Married-civ-spouse, Masters, United-States, Private,Soldier#1,-50000
51, Male, White, Divorced, HS-grad, United-States, Private,Clerk#1,-50000
23, Male, White, Married-civ-spouse, Prof-school, United-States, Private,Guard#1,-50000
19, Male, White, Never-married, Some-college, United-States, Private,Executive#1,-50000
54, Male, White, Never-married, Bachelors, United-States, Private,Housekeeper#1,-50000
50, Male, White, Never-married, Some-college, United-States, Private,Technician#1,-50000
35, Male, Black, Never-married, HS-grad, United-States, Private,Operator#2,-50000
23, Female, White, Divorced, Masters, United-States, Private,Worker#1,-50000
35, Male, White, Never-married, Some-college, United-States, Private,Soldier#1,-50000
47, Male, White, Married-civ-spouse, Masters, United-States, Private,Craftsman#3,50000+.
46, Male, White, Married-civ-spouse, Some-college, United-States, State-gov,Specialist#1,-50000
41, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Technician#1,50000+.
40, Male, White, Never-married, Bachelors, United-States, Self-emp-not-inc,Specialist#1,-50000
41, Female, White, Never-married, Some-college, United-States, Private,Operator#2,-50000
40, Male, White, Married-civ-spouse, 7th-8th, United-States, Private,Cleaner#3,-50000
48, Male, Black, Never-married, Bachelors, United-States, Federal-gov,Technician#1,50000+.
53, Male, White, Married-civ-spouse, Some-college, United-States, Private,Craftsman#3,50000+.
46, Male, White, Married-civ-spouse, 7th-8th, United-States, Self-emp-not-inc,Clerk#1,50000+.
39, Male, White, Married-civ-spouse, Some-college, United-States, Private,Skilled_Worker#1,50000+.
52, Female, White, Divorced, Some-college, United-States, Private,Cleaner#3,-50000
47, Male, White, Married-civ-spouse, Some-college, United-States, Private,Cleaner#3,-50000
36, Male, White, Divorced, Masters, United-States, Private,Specialist#1,-50000
33, Male, White, Never-married, Some-college, United-States, Private,Guard#1,-50000
41, Male, White, Never-married, Some-college, United-States, Private,Soldier#1,50000+.
41, Male, White, Never-married, Some-college, Philippines, Private,Soldier#1,-50000
44, Female, Black, Divorced, HS-grad, United-States, Private,Housekeeper#1,-50000
35, Female, White, Never-married, Bachelors, United-States, Private,Worker#1,-50000
50, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Soldier#1,-50000
51, Male, White, Never-married, Bachelors, United-States, Private,Skilled_Worker#1,-50000
39, Male, Black, Never-married, HS-grad, United-States, Private,Worker#1,-50000
34, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Salesperson#1,-50000
25, Male, White, Married-civ-spouse, 11th, United-States, Private,Worker#1,-50000
31, Male, White, Never-married, HS-grad, Dominican-Republic, Self-emp-not-inc,Executive#1,-50000
38, Male, White, Married-civ-spouse, Prof-school, United-States, Local-gov,Carrier#5,50000+.
32, Female, White, Married-civ-spouse, 11th, United-States, Federal-gov,Guard#1,-50000
68, Male, White, Married-civ-spouse, Some-college, United-States, Private,Skilled_Worker#1,50000+.
68, Male, White, Divorced, 1st-4th, United-States, Private,Carrier#5,-50000
31, Male, White, Married-civ-spouse, Assoc-voc, United-States, Private,Soldier#1,50000+.
50, Female, White, Married-civ-spouse, 12th, United-States, Private,Executive#1,-50000
43, Male, White, Married-civ-spouse, 12th, United-States, Private,Clerk#1,-50000
49, Female, White, Married-civ-spouse, Assoc-acdm, United-States, Self-emp-inc,Skilled_Worker#1,-50000
41, Male, White, Married-civ-spouse, HS-grad, Philippines, Private,Operator#2,50000+.
36, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,-50000
27, Male, White, Divorced, Assoc-voc, United-States, Private,Skilled_Worker#1,-50000
43, Male, Black, Married-civ-spouse, 12th, United-States, Without-pay,Specialist#1,-50000
25, Male, White, Never-married, HS-grad, United-States, Private,Executive#1,50000+.
20, Male, White, Widowed, HS-grad, United-States, Self-emp-not-inc,Housekeeper#1,-50000
29, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Salesperson#1,-50000
30, Female, White, Widowed, Doctorate, United-States, Local-gov,Cleaner#3,-50000
32, Female, Amer-Indian-Eskimo, Married-civ-spouse, Bachelors, United-States, Private,Guard#1,-50000
31, Male, White, Never-married, 10th, United-States, Local-gov,Operator#2,-50000
30, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Skilled_Worker#1,-50000
76, Male, White, Married-civ-spouse, Some-college, United-States, Private,Specialist#1,-50000
38, Male, White, Never-married, HS-grad, United-States, State-gov,Cleaner#3,-50000
51, Male, White, Married-civ-spouse, 10th, United-States, Private,Specialist#1,-50000
24, Male, White, Married-civ-spouse, Doctorate, United-States, Private,Worker#1,-50000
32, Female, White, Married-civ-spouse, Some-college, United-States, Self-emp-not-inc,Craftsman#3,-50000
23, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Guard#1,50000+.
30, Male, White, Never-married, Assoc-acdm, United-States, Private,Worker#1,50000+.
44, Male, White, Divorced, Prof-school, United-States, Private,Worker#1,-50000
44, Male, White, Divorced, Masters, United-States, Self-emp-inc,Operator#2,50000+.
48, Male, White, Divorced, Assoc-voc, United-States, Private,Technician#1,50000+.
42, Male, White, Divorced, Some-college, United-States, Private,Operator#2,-50000
52, Male, White, Divorced, 10th, United-States, Private,Cleaner#3,-50000
