age,sex,race,marital,education,country,typeEmployer,occupation,income
24, Male, White, Married-civ-spouse, Masters, United-States, Private,Craftsman#3,-50000
48, Female, White, Never-married, HS-grad, United-States, Private,Cleaner#3,-50000
42, Female, White, Married-spouse-absent, Prof-school, United-States, Private,Executive#1,50000+.
36, Female, White, Divorced, Some-college, United-States, Private,Executive#1,-50000
35, Female, White, Never-married, Masters, United-States, Federal-gov,Clerk#1,50000+.
44, Male, White, Married-civ-spouse, Some-college, United-States, Private,Craftsman#3,-50000
52, Male, White, Never-married, Assoc-voc, United-States, Local-gov,Operator#2,-50000
51, Male, White, Divorced, HS-grad, United-States, Private,Executive#1,-50000
37, Male, White, Never-married, Some-college, United-States, Private,Salesperson#1,50000+.
45, Male, White, Married-spouse-absent, Some-college, United-States, Private,Clerk#1,-50000
70, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Technician#1,-50000
49, Male, White, Married-civ-spouse, HS-grad, Iran, Self-emp-not-inc,Carrier#5,-50000
27, Male, White, Never-married, Some-college, United-States, Private,Worker#1,50000+.
29, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Guard#1,-50000
21, Female, White, Never-married, Assoc-acdm, United-States, Self-emp-not-inc,Craftsman#3,-50000
42, Female, White, Married-civ-spouse, Some-college, United-States, Private,Salesperson#1,50000+.
43, Male, White, Married-civ-spouse, HS-grad, United-States, Local-gov,Executive#1,50000+.
20, Male, White, Married-civ-spouse, HS-grad, United-States, State-gov,Technician#1,-50000
55, Male, White, Divorced, HS-grad, United-States, Private,Worker#1,-50000
53, Female, White, Never-married, Assoc-voc, United-States, Private,Salesperson#1,-50000
20, Male, White, Married-civ-spouse, HS-grad, United-States, Local-gov,Salesperson#1,-50000
39, Male, White, Married-civ-spouse, Some-college, United-States, Private,Craftsman#3,50000+.
30, Male, White, Married-civ-spouse, HS-grad, United-States, State-gov,Craftsman#3,50000+.
37, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Executive#1,50000+.
60, Male, Black, Married-civ-spouse, Some-college, United-States, Private,Salesperson#1,-50000
38, Male, White, Married-civ-spouse, HS-grad, United-States, Local-gov,Craftsman#3,-50000
47, Female, White, Never-married, HS-grad, United-States, Private,Skilled_Worker#1,-50000
29, Male, Black, Married-civ-spouse, 10th, United-States, Private,Specialist#1,50000+.
38, Female, White, Divorced, 7th-8th, United-States, Private,Clerk#1,-50000
50, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Guard#1,50000+.
29, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Salesperson#1,-50000
35, Female, White, Married-civ-spouse, Bachelors, United-States, Self-emp-not-inc,Skilled_Worker#1,-50000
25, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Salesperson#1,-50000
56, Male, Black, Never-married, Some-college, United-States, Private,Executive#1,50000+.
44, Male, White, Married-civ-spouse, Assoc-voc, United-States, Private,Executive#1,50000+.
22, Male, White, Married-civ-spouse, 11th, United-States, Private,Specialist#1,-50000
39, Male, White, Married-civ-spouse, Bachelors, United-States, Self-emp-not-inc,Craftsman#3,-50000
33, Female, White, Never-married, Bachelors, United-States, Local-gov,Technician#1,50000+.
39, Male, Black, Married-civ-spouse, HS-grad, United-States, Private,Worker#1,-50000
33, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Craftsman#3,-50000
25, Female, White, Married-civ-spouse, 10th, United-States, Private,Craftsman#3,-50000
22, Male, White, Divorced, HS-grad, United-States, Private,Guard#1,50000+.
56, Female, Black, Married-civ-spouse, HS-grad, United-States, Private,Salesperson#1,-50000
41, Male, Asian-Pac-Islander, Never-married, Bachelors, United-States, Self-emp-not-inc,Executive#1,-50000
33, Male, White, Never-married, Some-college, United-States, Private,Executive#1,-50000
23, Male, White, Never-married, Bachelors, United-States, Private,Executive#1,50000+.
41, Female, White, Divorced, Some-college, United-States, Private,Cleaner#3,-50000
33, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Executive#1,-50000
40, Male, White, Married-civ-spouse, Bachelors, United-States, Self-emp-not-inc,Operator#2,50000+.
48, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Craftsman#3,-50000
39, Female, White, Married-civ-spouse, Bachelors, United-States, Self-emp-not-inc,Salesperson#1,-50000
22, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Worker#1,50000+.
32, Female, White, Divorced, HS-grad, United-States, Self-emp-not-inc,Guard#1,-50000
21, Male, White, Never-married, Doctorate, United-States, Private,Clerk#1,-50000
32, Male, White, Married-civ-spouse, Some-college, United-States, Private,Specialist#1,-50000
23, Female, White, Never-married, Some-college, United-States, Private,Carrier#5,-50000
49, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-inc,Craftsman#3,-50000
23, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Worker#1,-50000
18, Male, White, Never-married, Masters, United-States, Private,Technician#1,-50000
40, Female, Amer-Indian-Eskimo, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Specialist#1,-50000
28, Male, White, Married-civ-spouse, 12th, United-States, State-gov,Worker#1,-50000
27, Male, White, Married-civ-spouse, Some-college, United-States, Private,Guard#1,-50000
21, Male, White, Never-married, Some-college, United-States, Private,Executive#1,50000+.
39, Male, Asian-Pac-Islander, Married-civ-spouse, HS-grad, United-States, Private,Craftsman#3,-50000
24, Male, White, Widowed, Doctorate, United-States, Private,Clerk#1,50000+.
65, Male, White, Never-married, Assoc-voc, United-States, Private,Clerk#1,-50000
40, Male, White, Never-married, HS-grad, United-States, Private,Carrier#5,-50000
39, Male, White, Widowed, Doctorate, United-States, Private,Specialist#1,50000+.
31, Male, White, Married-civ-spouse, Bachelors, United-States, State-gov,Operator#2,50000+.
31, Female, White, Married-civ-spouse, Bachelors, United-States, Local-gov,Worker#1,-50000
45, Male, White, Married-civ-spouse, Some-college, United-States, Private,Craftsman#3,50000+.
43, Male, White, Divorced, Some-college, United-States, Private,Executive#1,-50000
41, Female, White, Never-married, 11th, Mexico, Private,Worker#1,-50000
44, Female, White, Never-married, Bachelors, United-States, Private,Operator#2,50000+.
23, Male, Asian-Pac-Islander, Married-civ-spouse, 10th, United-States, Private,Specialist#1,-50000
33, Male, White, Married-civ-spouse, 5th-6th, United-States, Private,Clerk#1,-50000
46, Male, White, Divorced, HS-grad, United-States, Private,Skilled_Worker#1,-50000
38, Female, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Carrier#5,-50000
27, Female, White, Married-civ-spouse, 9th, United-States, Private,Specialist#1,-50000
