age,sex,race,marital,education,country,typeEmployer,occupation,income
58, Female, White, Never-married, Masters, United-States, Federal-gov,Guard#1,50000+.
55, Male, White, Never-married, HS-grad, United-States, Private,Carrier#5,50000+.
23, Male, Asian-Pac-Islander, Married-civ-spouse, HS-grad, United-States, Private,Operator#2,-50000
60, Male, Black, Married-civ-spouse, 7th-8th, United-States, Private,Skilled_Worker#1,-50000
30, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
57, Male, White, Never-married, HS-grad, United-States, Self-emp-inc,Skilled_Worker#1,-50000
76, Male, White, Divorced, 10th, United-States, Local-gov,Cleaner#3,-50000
30, Male, White, Never-married, 7th-8th, United-States, Private,Soldier#1,50000+.
78, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Clerk#1,-50000
57, Male, White, Married-civ-spouse, 9th, United-States, Private,Craftsman#3,-50000
65, Female, White, Married-civ-spouse, Some-college, Puerto-Rico, Local-gov,Executive#1,-50000
33, Male, White, Never-married, HS-grad, United-States, Private,Cleaner#3,-50000
34, Male, Black, Divorced, HS-grad, United-States, Private,Carrier#5,-50000
22, Male, Black, Divorced, Bachelors, United-States, Local-gov,Operator#2,-50000
43, Female, Black, Never-married, Some-college, United-States, Private,Cleaner#3,-50000
29, Male, White, Never-married, Some-college, United-States, Private,Skilled_Worker#1,-50000
47, Male, Amer-Indian-Eskimo, Married-civ-spouse, HS-grad, United-States, Private,Carrier#5,-50000
17, Male, White, Married-civ-spouse, Masters, United-States, Private,Clerk#1,50000+.
31, Male, White, Never-married, HS-grad, United-States, Private,Salesperson#1,-50000
61, Female, Other, Married-civ-spouse, Some-college, United-States, Private,Executive#1,50000+.
28, Female, Black, Divorced, Bachelors, United-States, Private,Cleaner#3,50000+.
36, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Specialist#1,-50000
18, Male, Asian-Pac-Islander, Divorced, Bachelors, United-States, Private,Executive#1,-50000
23, Female, White, Separated, Some-college, United-States, Federal-gov,Clerk#1,-50000
44, Male, Black, Never-married, Bachelors, United-States, Private,Carrier#5,-50000
23, Male, White, Divorced, 10th, United-States, Private,Craftsman#3,50000+.
31, Female, Asian-Pac-Islander, Never-married, Some-college, United-States, Self-emp-not-inc,Clerk#1,-50000
73, Male, White, Never-married, Some-college, United-States, Private,Cleaner#3,50000+.
23, Male, White, Married-civ-spouse, Some-college, Mexico, Private,Skilled_Worker#1,-50000
45, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Soldier#1,50000+.
18, Male, Black, Divorced, Bachelors, United-States, Private,Executive#1,-50000
43, Female, White, Never-married, Bachelors, United-States, Private,Craftsman#3,-50000
17, Female, White, Never-married, HS-grad, United-States, Self-emp-not-inc,Craftsman#3,-50000
38, Male, White, Never-married, Some-college, United-States, Self-emp-not-inc,Housekeeper#1,50000+.
36, Male, White, Married-civ-spouse, Bachelors, United-States, Self-emp-not-inc,Clerk#1,-50000
55, Male, White, Never-married, Some-college, United-States, Private,Cleaner#3,50000+.
36, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Clerk#1,-50000
30, Male, Black, Never-married, HS-grad, United-States, Private,Clerk#1,50000+.
49, Male, White, Married-civ-spouse, HS-grad, United-States, Local-gov,Housekeeper#1,-50000
36, Male, White, Married-civ-spouse, 11th, United-States, Private,Cleaner#3,-50000
52, Male, White, Never-married, Some-college, United-States, Private,Craftsman#3,-50000
48, Male, Other, Married-civ-spouse, Prof-school, United-States, State-gov,Cleaner#3,50000+.
44, Female, White, Divorced, HS-grad, United-States, Private,Executive#1,-50000
26, Female, Other, Married-civ-spouse, HS-grad, United-States, Private,Technician#1,-50000
36, Male, White, Married-civ-spouse, HS-grad, United-States, Private,Housekeeper#1,-50000
54, Male, White, Divorced, Some-college, United-States, Private,Operator#2,-50000
