age,sex,race,marital,education,country,typeEmployer,occupation,income
28, Male, Black, Married-civ-spouse, Doctorate, United-States, Self-emp-not-inc,Specialist#1,-50000
59, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-inc,Guard#1,-50000
22, Male, White, Separated, 12th, United-States, Private,Clerk#1,-50000
24, Male, Black, Married-civ-spouse, Bachelors, United-States, Private,Salesperson#1,-50000
19, Female, White, Married-civ-spouse, Assoc-acdm, United-States, Private,Salesperson#1,50000+.
35, Male, Black, Never-married, Bachelors, United-States, Private,Executive#1,-50000
20, Male, White, Divorced, Masters, United-States, State-gov,Technician#1,-50000
53, Male, Black, Married-civ-spouse, Bachelors, United-States, Private,Salesperson#1,-50000
33, Male, White, Never-married, Masters, United-States, Private,Soldier#1,-50000
62, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Specialist#1,-50000
25, Male, White, Married-civ-spouse, Some-college, United-States, Private,Housekeeper#1,-50000
39, Male, White, Married-civ-spouse, Some-college, United-States, Private,Salesperson#1,-50000
31, Male, Asian-Pac-Islander, Married-civ-spouse, Bachelors, United-States, Private,Guard#1,-50000
48, Male, White, Married-civ-spouse, Doctorate, Haiti, Private,Soldier#1,50000+.
49, Male, White, Married-civ-spouse, HS-grad, United-States, Local-gov,Technician#1,-50000
23, Female, White, Never-married, Some-college, United-States, Private,Worker#1,50000+.
24, Female, White, Never-married, Doctorate, United-States, Private,Guard#1,-50000
45, Male, White, Married-civ-spouse, Bachelors, United-States, Self-emp-not-inc,Craftsman#3,50000+.
39, Male, Black, Married-civ-spouse, HS-grad, United-States, Private,Worker#1,-50000
29, Male, White, Never-married, 11th, United-States, Private,Guard#1,-50000
41, Female, White, Married-civ-spouse, 11th, United-States, Private,Executive#1,50000+.
50, Male, White, Married-civ-spouse, Assoc-voc, United-States, Private,Specialist#1,-50000
18, Female, White, Married-civ-spouse, Some-college, United-States, Private,Skilled_Worker#1,-50000
36, Male, White, Never-married, 12th, United-States, Private,Housekeeper#1,-50000
53, Male, Asian-Pac-Islander, Widowed, Bachelors, United-States, Private,Specialist#1,-50000
39, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Carrier#5,-50000
24, Male, White, Never-married, Some-college, United-States, Private,Clerk#1,-50000
