age,sex,race,marital,education,country,typeEmployer,occupation,income
21, Female, White, Married-civ-spouse, 9th, United-States, Private,Salesperson#1,-50000
24, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Executive#1,-50000
23, Male, Amer-Indian-Eskimo, Married-civ-spouse, Some-college, United-States, Self-emp-not-inc,Carrier#5,-50000
53, Male, White, Divorced, 7th-8th, United-States, Self-emp-inc,Craftsman#3,50000+.
42, Male, Black, Widowed, HS-grad, United-States, Private,Housekeeper#1,-50000
36, Male, White, Never-married, Bachelors, United-States, Private,Guard#1,-50000
51, Female, White, Never-married, Masters, United-States, Self-emp-inc,Housekeeper#1,-50000
42, Male, White, Married-spouse-absent, 10th, United-States, Private,Housekeeper#1,-50000
41, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Salesperson#1,-50000
37, Female, White, Married-civ-spouse, HS-grad, United-States, Private,Housekeeper#1,50000+.
25, Female, White, Never-married, Masters, United-States, Private,Cleaner#3,50000+.
29, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Craftsman#3,-50000
17, Male, White, Married-civ-spouse, Bachelors, United-States, Local-gov,Carrier#5,-50000
35, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-inc,Carrier#5,-50000
51, Male, White, Divorced, Bachelors, United-States, Self-emp-not-inc,Craftsman#3,-50000
19, Male, White, Married-civ-spouse, Prof-school, United-States, Private,Salesperson#1,50000+.
79, Male, White, Divorced, HS-grad, United-States, Private,Cleaner#3,50000+.
36, Male, Asian-Pac-Islander, Married-civ-spouse, Assoc-voc, United-States, Private,Executive#1,50000+.
37, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Clerk#1,-50000
42, Female, White, Never-married, 11th, United-States, Federal-gov,Carrier#5,-50000
19, Female, White, Married-civ-spouse, Bachelors, United-States, Private,Carrier#5,50000+.
31, Male, White, Never-married, HS-grad, United-States, Local-gov,Housekeeper#1,50000+.
55, Female, White, Never-married, Assoc-voc, United-States, Private,Salesperson#1,-50000
32, Male, White, Married-civ-spouse, 11th, Mexico, Private,Clerk#1,-50000
38, Male, White, Married-civ-spouse, HS-grad, United-States, Self-emp-not-inc,Executive#1,-50000
34, Male, White, Widowed, Bachelors, United-States, Private,Carrier#5,-50000
31, Male, White, Never-married, HS-grad, United-States, Private,Clerk#1,-50000
42, Male, White, Married-civ-spouse, 1st-4th, United-States, Private,Carrier#5,-50000
24, Male, Other, Married-civ-spouse, Some-college, United-States, Local-gov,Executive#1,50000+.
39, Male, White, Never-married, HS-grad, United-States, Private,Executive#1,-50000
56, Male, White, Married-civ-spouse, Some-college, United-States, Private,Carrier#5,-50000
20, Male, White, Divorced, HS-grad, United-States, Self-emp-not-inc,Guard#1,-50000
28, Male, White, Widowed, Assoc-voc, United-States, Private,Craftsman#3,50000+.
28, Male, White, Married-civ-spouse, 10th, United-States, Private,Guard#1,-50000
34, Male, White, Married-civ-spouse, Bachelors, United-States, Private,Cleaner#3,50000+.
