statusCheckingAccount,duration,creditHistory,purpose,creditAmount,savings,presentEmployment,installmentRate,statusAndSex,otherDebtors,presentResidence,property,age,otherInstallmentPlans,housing,numberExistingCredits,job,numberLiablePeople,telephone,foreignWorker,costMatrix,ageRange
A12,21,A32,car#1,1344,A64,A72,2,A93,A101,3,A123,33,A143,A152,1,A173,1,A192,A201,2,forties
A14,12,A34,equipment#1,1532,A61,A75,4,A93,A101,4,A123,30,A143,A152,1,A173,1,A191,A201,1,fifties
A12,60,A34,furniture#1,2538,A61,A72,4,A92,A103,4,A124,47,A143,A152,2,A173,1,A191,A201,1,forties
A11,12,A34,equipment#1,2121,A62,A73,4,A92,A101,4,A123,53,A143,A152,2,A172,2,A191,A201,1,forties
A11,18,A33,car#1,841,A65,A73,1,A93,A101,3,A124,67,A143,A152,1,A173,1,A192,A201,1,forties
A11,6,A32,car#1,1068,A61,A72,4,A93,A101,4,A121,48,A143,A151,1,A173,1,A191,A201,2,twenties
A14,18,A32,purpose#2,1204,A63,A72,2,A93,A101,3,A121,40,A143,A152,1,A172,1,A192,A201,2,twenties
A12,12,A32,education#1,2238,A65,A73,1,A92,A101,4,A123,23,A142,A153,1,A173,2,A191,A201,1,fifties
A12,24,A32,education#1,629,A61,A73,4,A92,A101,4,A122,50,A141,A151,1,A172,1,A191,A201,1,thirties
A14,48,A31,business#2,6403,A61,A75,4,A93,A101,1,A123,26,A143,A152,4,A173,2,A192,A201,1,thirties
A12,12,A32,business#2,3485,A63,A74,4,A92,A101,2,A121,25,A143,A152,1,A174,1,A191,A201,1,twenties
A14,12,A33,equipment#1,3915,A63,A75,4,A93,A101,4,A124,52,A143,A152,1,A173,1,A191,A201,1,forties
A11,36,A32,radio#2,909,A61,A73,4,A93,A101,4,A122,37,A143,A152,2,A174,1,A192,A201,2,thirties
A14,30,A32,business#2,2279,A61,A73,3,A93,A101,2,A122,46,A143,A153,1,A173,1,A191,A201,2,thirties
A14,24,A34,education#1,433,A61,A72,2,A92,A101,4,A122,35,A143,A151,1,A172,1,A191,A201,1,twenties
A11,24,A32,business#2,1262,A63,A73,3,A92,A101,4,A122,24,A143,A152,1,A173,1,A191,A201,2,forties
A14,12,A32,car#1,2759,A65,A74,1,A94,A101,2,A123,46,A141,A152,1,A172,1,A191,A201,1,forties
A11,15,A32,equipment#1,1445,A65,A74,3,A93,A101,2,A123,37,A143,A152,2,A172,1,A192,A201,2,twenties
A11,48,A32,radio#2,1715,A61,A75,3,A93,A101,4,A122,22,A143,A153,1,A173,1,A191,A201,2,twenties
A14,6,A32,business#2,5248,A63,A71,1,A92,A101,2,A121,26,A143,A152,1,A172,1,A191,A202,1,twenties
A14,9,A34,equipment#1,3149,A61,A73,1,A93,A102,1,A122,23,A143,A152,2,A173,1,A192,A201,2,twenties
A14,12,A32,furniture#1,3527,A65,A73,4,A93,A101,3,A123,30,A143,A152,1,A173,1,A192,A201,2,fifties
A11,9,A33,business#2,2171,A65,A71,4,A93,A101,4,A121,28,A143,A152,1,A174,1,A191,A201,2,twenties
A14,18,A32,car#1,1484,A61,A75,4,A92,A101,2,A122,45,A141,A152,2,A173,1,A191,A201,2,twenties
A12,15,A34,education#1,1478,A62,A73,4,A93,A101,2,A121,31,A143,A151,2,A173,1,A192,A201,2,twenties
A12,12,A32,equipment#1,433,A63,A74,4,A93,A101,3,A121,21,A142,A152,1,A173,1,A191,A202,1,twenties
A13,18,A33,home_appliance#1,5742,A61,A75,4,A93,A101,1,A124,32,A143,A151,2,A173,1,A192,A201,1,sixties
A14,12,A30,repair#1,3234,A61,A74,4,A93,A101,1,A121,63,A143,A152,1,A174,1,A191,A201,2,thirties
A14,30,A32,car#1,7119,A61,A72,1,A92,A101,4,A124,27,A143,A152,2,A173,1,A192,A201,1,forties
A12,24,A34,car#1,2647,A61,A75,2,A93,A101,2,A121,27,A143,A151,2,A173,1,A192,A201,1,thirties
A14,13,A32,business#2,1851,A65,A73,2,A92,A101,4,A124,37,A143,A151,1,A173,1,A191,A201,1,forties
A11,11,A34,education#1,1919,A61,A72,1,A93,A101,3,A123,21,A143,A152,1,A173,1,A192,A201,1,twenties
A12,36,A34,home_appliance#1,2872,A61,A72,4,A93,A101,4,A123,61,A143,A151,1,A174,1,A192,A201,2,twenties
A11,15,A34,education#1,2782,A65,A73,4,A93,A101,4,A123,31,A143,A151,1,A173,1,A191,A201,1,thirties
A13,12,A34,business#2,1301,A61,A72,2,A91,A101,4,A123,31,A143,A152,2,A173,1,A191,A201,2,thirties
