statusCheckingAccount,duration,creditHistory,purpose,creditAmount,savings,presentEmployment,installmentRate,statusAndSex,otherDebtors,presentResidence,property,age,otherInstallmentPlans,housing,numberExistingCredits,job,numberLiablePeople,telephone,foreignWorker,costMatrix,ageRange
A13,21,A32,car#1,2812,A61,A73,3,A93,A101,3,A121,37,A143,A151,1,A172,1,A191,A201,1,thirties
A11,12,A32,retraining#1,6304,A61,A74,1,A91,A101,4,A121,41,A143,A152,1,A173,2,A191,A201,1,sixties
A12,24,A34,car#1,448,A61,A75,4,A92,A101,1,A121,52,A143,A152,1,A174,1,A191,A201,2,thirties
A14,15,A34,business#2,2320,A61,A73,4,A93,A101,3,A123,26,A141,A152,2,A174,1,A192,A201,2,forties
A14,12,A32,furniture#1,5842,A61,A72,3,A92,A101,2,A122,40,A141,A152,1,A172,1,A191,A201,1,thirties
A11,18,A32,equipment#1,6229,A64,A75,3,A92,A101,2,A123,63,A143,A152,1,A173,2,A191,A201,1,forties
A14,30,A34,education#1,1358,A61,A74,4,A91,A103,4,A121,49,A142,A152,2,A173,1,A192,A201,2,thirties
A14,24,A32,car#1,1872,A61,A72,3,A92,A103,3,A123,31,A143,A152,1,A173,1,A192,A201,1,forties
A12,21,A34,purpose#2,1049,A65,A74,1,A93,A101,1,A121,43,A143,A152,2,A173,1,A191,A201,1,thirties
A12,22,A32,used-car#1,1237,A61,A73,4,A92,A102,1,A123,50,A141,A152,1,A173,1,A192,A201,1,fifties
A14,36,A32,car#1,4526,A65,A75,3,A92,A101,4,A122,35,A143,A152,1,A171,1,A191,A201,1,thirties
A14,12,A32,business#2,1393,A61,A75,4,A93,A101,4,A121,27,A143,A153,2,A174,1,A191,A201,1,thirties
A14,12,A34,retraining#1,1258,A61,A73,2,A93,A101,4,A121,38,A143,A152,2,A173,2,A192,A201,1,forties
A12,18,A32,equipment#1,1603,A65,A75,4,A93,A102,4,A123,21,A141,A151,1,A173,2,A192,A201,1,sixties
A12,21,A32,furniture#1,5150,A61,A72,2,A94,A101,1,A121,32,A143,A152,1,A173,2,A191,A201,2,twenties
