statusCheckingAccount,duration,creditHistory,purpose,creditAmount,savings,presentEmployment,installmentRate,statusAndSex,otherDebtors,presentResidence,property,age,otherInstallmentPlans,housing,numberExistingCredits,job,numberLiablePeople,telephone,foreignWorker,costMatrix,ageRange
A12,9,A33,used-car#1,1123,A62,A73,4,A93,A101,1,A122,49,A143,A152,2,A173,1,A191,A201,1,fifties
A11,24,A33,purpose#2,1098,A61,A74,4,A92,A101,3,A122,23,A143,A152,1,A172,1,A192,A201,2,thirties
A12,36,A33,used-car#1,4280,A61,A73,4,A92,A101,3,A123,34,A143,A152,1,A173,1,A191,A201,2,forties
A12,18,A32,car#1,3973,A61,A73,4,A92,A101,2,A121,27,A143,A151,1,A172,2,A191,A201,1,forties
A12,48,A32,car#1,8335,A64,A74,4,A92,A101,1,A124,40,A143,A152,1,A173,1,A192,A201,1,twenties
A12,36,A32,radio#2,2064,A65,A73,2,A93,A101,3,A121,25,A143,A152,2,A174,2,A191,A201,2,thirties
A11,48,A32,business#2,2728,A61,A75,4,A94,A101,1,A123,50,A143,A152,1,A174,1,A192,A201,1,forties
A14,15,A34,furniture#1,2251,A61,A74,4,A92,A101,1,A121,35,A141,A151,1,A171,1,A191,A201,1,thirties
A14,18,A34,equipment#1,4526,A61,A75,2,A93,A101,2,A123,74,A141,A152,1,A174,2,A191,A201,1,twenties
A12,6,A32,education#1,10144,A61,A71,2,A92,A101,4,A124,31,A143,A151,2,A172,1,A191,A201,2,forties
A14,24,A32,education#1,2779,A63,A72,4,A93,A101,1,A122,22,A143,A153,1,A173,1,A192,A201,2,thirties
A11,12,A32,radio#2,9857,A61,A72,2,A93,A101,1,A123,33,A143,A152,1,A174,1,A191,A201,2,thirties
A11,9,A32,car#1,5084,A65,A73,1,A93,A101,2,A123,29,A143,A152,1,A173,1,A191,A201,1,thirties
A11,12,A34,car#1,2315,A61,A75,4,A93,A101,3,A123,22,A143,A152,1,A173,2,A192,A201,1,forties
A13,18,A32,television#3,959,A61,A72,4,A92,A103,4,A121,36,A143,A152,2,A174,2,A191,A201,2,sixties
A14,12,A32,car#1,4006,A61,A73,2,A92,A101,3,A122,30,A141,A151,2,A174,1,A191,A201,1,thirties
A14,9,A32,equipment#1,7374,A64,A75,1,A93,A101,3,A123,28,A141,A152,2,A174,2,A191,A201,1,fifties
A14,30,A34,equipment#1,6403,A62,A71,4,A93,A101,2,A122,27,A143,A152,1,A172,1,A192,A201,2,forties
A14,36,A34,used-car#1,7596,A61,A73,3,A93,A101,3,A123,28,A143,A151,2,A173,1,A192,A201,1,thirties
A11,48,A32,television#3,2767,A61,A75,3,A93,A101,3,A121,27,A143,A151,1,A172,1,A191,A201,2,twenties
A14,6,A32,television#3,1216,A61,A73,3,A93,A101,4,A124,27,A143,A152,1,A173,1,A191,A201,2,twenties
A14,24,A33,car#1,2124,A61,A74,4,A93,A101,3,A121,40,A143,A152,1,A173,1,A191,A201,1,thirties
A14,36,A34,business#2,1371,A62,A71,4,A92,A101,2,A122,39,A143,A151,2,A174,1,A192,A201,2,forties
A14,12,A32,equipment#1,1538,A61,A73,4,A93,A101,1,A121,33,A143,A152,1,A173,1,A192,A201,1,forties
A12,24,A32,education#1,2687,A61,A74,4,A93,A103,2,A123,32,A143,A152,1,A173,1,A192,A201,1,thirties
A12,24,A32,radio#2,2520,A61,A74,3,A94,A101,3,A121,28,A143,A152,1,A174,1,A192,A201,1,thirties
A12,45,A34,education#1,1819,A61,A73,1,A92,A101,1,A123,54,A143,A152,1,A173,1,A192,A201,2,twenties
A11,36,A34,education#1,1309,A61,A73,4,A93,A101,1,A123,45,A143,A152,1,A173,1,A192,A201,2,sixties
A12,18,A32,car#1,3832,A62,A75,4,A93,A101,1,A121,30,A143,A152,1,A173,1,A192,A201,1,twenties
A14,15,A33,car#1,1845,A65,A72,1,A93,A101,3,A123,33,A143,A152,2,A173,1,A191,A201,1,fifties
A11,36,A33,car#1,14782,A65,A75,2,A91,A101,4,A121,23,A143,A152,1,A172,1,A191,A201,1,sixties
A12,12,A32,car#1,1050,A61,A75,3,A93,A101,4,A123,38,A143,A152,1,A172,1,A192,A202,1,thirties
A11,24,A34,furniture#1,1024,A61,A75,4,A93,A101,4,A122,57,A143,A152,1,A173,1,A192,A201,1,thirties
A11,12,A30,car#1,4210,A61,A75,4,A92,A101,4,A121,30,A142,A152,2,A173,1,A191,A201,1,twenties
A14,6,A33,business#2,1410,A65,A73,3,A92,A101,4,A123,45,A143,A152,1,A173,1,A191,A201,1,fifties
A11,15,A32,education#1,12680,A61,A73,2,A92,A101,2,A123,35,A143,A152,1,A174,2,A191,A201,2,twenties
A12,36,A32,car#1,2333,A61,A72,4,A94,A101,4,A122,30,A143,A152,1,A173,2,A192,A201,1,fifties
A14,24,A34,furniture#1,5003,A61,A75,4,A92,A101,2,A123,43,A143,A152,1,A174,1,A191,A201,1,thirties
A14,36,A32,television#3,802,A62,A73,4,A93,A101,4,A122,22,A143,A152,1,A174,1,A191,A201,1,forties
A11,24,A32,television#3,1680,A65,A75,2,A93,A101,4,A122,35,A141,A152,1,A172,2,A191,A201,1,twenties
A14,15,A33,business#2,1228,A61,A72,4,A92,A101,2,A123,58,A143,A151,1,A173,1,A192,A201,1,thirties
A12,18,A34,education#1,2301,A61,A74,4,A92,A101,4,A122,32,A143,A151,1,A172,1,A192,A201,1,fifties
A12,36,A34,television#3,727,A63,A72,2,A91,A101,1,A121,35,A143,A152,1,A172,1,A192,A201,2,forties
A14,9,A32,equipment#1,682,A63,A74,4,A92,A101,1,A121,50,A143,A152,1,A173,1,A192,A201,1,forties
A12,6,A32,furniture#1,3617,A65,A75,4,A93,A101,4,A123,23,A143,A152,1,A173,1,A191,A201,2,twenties
A11,18,A34,car#1,4870,A65,A74,1,A93,A101,3,A123,36,A141,A151,1,A173,1,A192,A201,2,thirties
A13,24,A34,car#1,4811,A61,A74,4,A94,A102,2,A123,23,A143,A152,3,A173,1,A191,A201,1,thirties
A12,11,A34,television#3,1240,A61,A75,4,A93,A103,1,A123,23,A143,A152,2,A172,1,A192,A201,1,twenties
A14,24,A33,used-car#1,1766,A61,A75,4,A92,A101,2,A123,29,A143,A152,1,A172,2,A191,A201,2,twenties
A12,12,A32,used-car#1,776,A61,A72,2,A92,A101,4,A124,33,A141,A152,1,A174,1,A191,A201,2,forties
A11,12,A34,used-car#1,2327,A61,A73,4,A93,A101,4,A121,23,A143,A152,1,A173,1,A192,A201,1,twenties
A14,10,A34,television#3,8335,A63,A72,2,A93,A101,4,A121,33,A141,A151,2,A173,1,A192,A201,1,thirties
A12,24,A30,car#1,2073,A61,A73,4,A93,A102,1,A122,25,A141,A152,1,A173,1,A191,A202,1,thirties
A11,27,A32,radio#2,4110,A65,A74,3,A92,A101,4,A124,36,A143,A152,1,A173,1,A191,A201,1,fifties
A14,15,A31,car#1,1278,A65,A73,2,A92,A101,3,A124,44,A143,A152,1,A174,1,A192,A201,1,twenties
A12,21,A32,car#1,5804,A61,A73,3,A94,A101,4,A121,35,A143,A152,2,A174,1,A192,A201,1,thirties
A11,39,A32,equipment#1,1393,A61,A75,3,A92,A101,4,A121,24,A143,A152,2,A172,1,A191,A201,1,twenties
A14,21,A34,furniture#1,6229,A61,A73,2,A93,A101,3,A122,42,A143,A153,1,A172,1,A191,A201,1,twenties
A11,9,A32,radio#2,2439,A61,A75,3,A91,A101,2,A124,63,A143,A151,1,A173,1,A191,A201,1,forties
A11,60,A32,education#1,1206,A61,A72,4,A92,A101,4,A121,35,A143,A152,1,A174,1,A192,A201,1,twenties
A12,18,A32,used-car#1,590,A61,A72,2,A93,A101,3,A123,29,A143,A152,2,A174,2,A192,A201,2,twenties
A14,11,A33,furniture#1,719,A61,A74,4,A93,A101,2,A122,27,A143,A152,2,A173,1,A192,A201,1,twenties
A14,24,A30,car#1,1913,A64,A74,3,A93,A101,3,A122,21,A143,A152,1,A173,1,A192,A201,1,forties
A14,12,A32,education#1,1275,A63,A75,2,A93,A101,2,A121,30,A143,A152,4,A173,1,A192,A201,2,forties
A11,30,A33,purpose#2,3017,A61,A75,2,A92,A101,4,A123,37,A143,A151,1,A173,1,A192,A201,1,twenties
A13,6,A34,radio#2,5511,A61,A72,4,A93,A101,1,A122,29,A143,A152,1,A173,1,A191,A201,1,fifties
A11,24,A33,retraining#1,2181,A61,A75,2,A93,A102,4,A121,32,A143,A152,1,A173,2,A192,A201,2,twenties
A14,30,A33,equipment#1,2171,A61,A73,1,A93,A101,4,A122,33,A143,A151,1,A173,1,A191,A201,1,twenties
A11,6,A34,equipment#1,3566,A61,A73,4,A93,A101,1,A123,31,A141,A151,2,A173,1,A191,A201,1,thirties
A11,36,A34,equipment#1,8358,A62,A73,4,A93,A101,4,A123,22,A143,A152,1,A173,1,A191,A201,1,thirties
A11,24,A32,radio#2,2273,A65,A73,4,A91,A103,3,A122,29,A142,A152,1,A173,1,A191,A201,1,thirties
A13,18,A34,car#1,1905,A64,A72,4,A92,A103,3,A123,31,A143,A151,2,A173,2,A192,A201,2,twenties
A14,21,A32,business#2,2579,A62,A73,4,A93,A101,4,A122,61,A143,A151,1,A173,1,A191,A201,1,twenties
A12,18,A32,radio#2,2327,A65,A73,2,A93,A101,4,A124,47,A143,A151,1,A172,1,A191,A202,2,thirties
A11,18,A32,education#1,3518,A62,A74,4,A92,A101,4,A121,38,A143,A152,1,A174,2,A191,A201,1,sixties
A13,15,A33,education#1,753,A65,A74,1,A93,A101,2,A123,36,A143,A152,1,A172,1,A192,A201,1,twenties
A12,15,A32,business#2,6229,A61,A75,4,A93,A101,4,A123,61,A143,A152,1,A173,1,A191,A201,1,sixties
A12,24,A32,car#1,12204,A61,A74,1,A93,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,2,twenties
A14,15,A32,equipment#1,1082,A61,A74,2,A92,A101,1,A124,42,A141,A152,1,A172,1,A192,A201,1,thirties
A11,12,A30,education#1,1925,A61,A71,1,A93,A101,4,A122,61,A143,A153,2,A173,2,A191,A201,1,sixties
A14,10,A34,furniture#1,2246,A61,A73,4,A92,A101,4,A123,27,A143,A152,2,A173,2,A192,A201,1,twenties
A14,60,A33,equipment#1,3499,A62,A74,4,A92,A101,4,A121,36,A143,A153,2,A173,1,A192,A201,2,thirties
A11,6,A34,furniture#1,2145,A65,A73,4,A93,A101,2,A123,49,A143,A151,2,A172,1,A192,A201,1,fifties
A11,24,A33,radio#2,932,A61,A73,3,A92,A101,2,A124,30,A143,A151,2,A174,2,A192,A201,1,twenties
A12,12,A32,equipment#1,3914,A65,A72,1,A92,A101,4,A122,31,A143,A153,2,A173,1,A192,A201,1,twenties
A14,10,A34,car#1,1514,A63,A75,1,A93,A101,1,A121,39,A141,A152,1,A173,1,A191,A201,1,twenties
A12,9,A34,radio#2,3441,A65,A72,2,A93,A101,3,A123,39,A143,A152,1,A173,1,A191,A201,1,twenties
A11,11,A32,used-car#1,1569,A65,A72,2,A93,A101,2,A122,25,A143,A152,2,A173,1,A192,A201,1,thirties
A12,48,A30,radio#2,2169,A62,A75,4,A93,A101,4,A122,21,A141,A152,1,A173,1,A192,A201,1,twenties
A14,30,A32,car#1,6872,A61,A73,4,A94,A101,1,A122,31,A143,A152,2,A173,1,A191,A201,1,forties
A11,47,A34,radio#2,2348,A63,A75,4,A93,A101,4,A121,45,A143,A152,1,A173,1,A191,A201,2,fifties
A11,24,A32,radio#2,1935,A61,A73,4,A93,A101,4,A122,61,A143,A152,1,A172,1,A191,A201,2,forties
A11,30,A34,home_appliance#1,1520,A61,A75,1,A93,A101,4,A122,29,A143,A152,1,A173,1,A192,A201,2,forties
A11,15,A32,radio#2,2578,A61,A72,3,A91,A101,4,A124,22,A143,A151,1,A173,1,A191,A201,1,twenties
A14,42,A32,radio#2,7228,A61,A75,4,A93,A101,1,A121,20,A143,A151,1,A174,1,A191,A201,1,teens
A11,18,A32,radio#2,2675,A61,A73,4,A92,A101,2,A122,24,A143,A152,1,A173,1,A192,A201,1,fifties
A14,6,A32,used-car#1,753,A65,A72,2,A92,A101,2,A123,38,A141,A152,1,A172,1,A192,A201,1,thirties
A11,24,A32,car#1,3915,A65,A73,4,A93,A101,2,A124,26,A143,A153,4,A173,1,A192,A201,2,twenties
A11,27,A30,car#1,8487,A62,A72,3,A93,A101,4,A124,36,A143,A152,2,A173,1,A191,A201,1,thirties
A12,48,A34,radio#2,3499,A61,A75,2,A92,A101,4,A123,27,A143,A152,2,A174,1,A191,A201,2,thirties
A13,12,A34,business#2,1494,A61,A72,4,A93,A101,3,A123,41,A143,A152,2,A174,1,A191,A201,1,forties
A14,12,A32,radio#2,2445,A61,A75,4,A93,A101,2,A123,45,A143,A151,1,A174,1,A192,A201,1,thirties
A12,48,A34,education#1,2039,A61,A71,4,A93,A101,3,A123,35,A143,A152,2,A172,1,A192,A201,2,forties
A12,36,A32,education#1,2171,A61,A73,1,A92,A103,1,A123,31,A143,A153,1,A174,1,A191,A201,1,forties
A11,24,A31,television#3,4308,A61,A74,3,A93,A101,4,A124,20,A143,A152,1,A171,1,A192,A201,1,thirties
A14,24,A32,radio#2,5324,A61,A72,4,A93,A101,4,A122,29,A143,A151,2,A173,1,A192,A202,1,thirties
A14,8,A32,used-car#1,884,A65,A73,4,A93,A101,4,A124,23,A143,A151,1,A173,1,A192,A201,1,twenties
A14,24,A32,retraining#1,1343,A65,A73,3,A93,A101,3,A121,61,A143,A152,1,A173,1,A192,A201,1,sixties
A12,48,A34,business#2,2284,A62,A75,2,A93,A101,4,A123,32,A143,A152,1,A172,2,A192,A201,1,forties
A14,12,A32,car#1,1747,A62,A75,4,A93,A101,4,A121,28,A143,A152,2,A174,1,A191,A202,1,twenties
A12,9,A32,used-car#1,2631,A62,A73,4,A92,A103,4,A122,68,A143,A151,2,A172,1,A191,A201,1,thirties
A12,36,A33,furniture#1,1516,A65,A75,4,A93,A101,4,A122,57,A143,A151,1,A173,1,A191,A201,2,twenties
A12,24,A32,car#1,2278,A65,A73,4,A93,A101,2,A123,23,A143,A152,1,A174,1,A192,A201,1,forties
A11,20,A32,car#1,1913,A61,A75,3,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,2,thirties
