gender,age,semAge,occupation,placeOfWork,activity,placeOfActivity,salaryClass,salaryCatClass,riskOfAccidentClass
female,66,sixties,architect,office,boat_racing,sea,88350,>50K<=100K,high
female,52,fifties,architect,architecture,basketball,basketball_court,71250,>50K<=100K,medium
male,29,twenties,dishwasher,restaurant,basketball,basketball_court,17640,<=50K,low
male,58,fifties,basketball_coach,gym,judo,gym,44840,<=50K,low
male,33,thirties,massager,massage_parlor,billiards,pub,44690,<=50K,low
female,34,thirties,ballet_dancer,school,fishing,sea,41300,<=50K,low
male,47,forties,architect,architecture,roller_skating,skating_rink,71250,>50K<=100K,high
female,43,forties,clinical_psychologist,hospital,basketball,basketball_court,84680,>50K<=100K,low
male,34,thirties,dishwasher,restaurant,billiards,pub,19260,<=50K,low
female,31,thirties,chiropractor,surgery,boxing,boxing_ring,62130,>50K<=100K,low
male,60,sixties,agriculturist,countryside,fishing,lake,39900,<=50K,medium
female,75,seventies,journalist,office,bowling,amusement_park,60900,>50K<=100K,high
female,51,fifties,chemist,school,hurling,ballpark,61740,>50K<=100K,low
male,62,sixties,copilot,airport,bingo,casino,175160,>100K,high
male,51,fifties,civil_engineer,architecture,hurling,ballpark,77470,>50K<=100K,high
female,50,fifties,baseball_coach,court,surfing,sea,44840,<=50K,low
female,68,sixties,dentist,surgery,ice_skating,skating_rink,157480,>100K,low
female,39,thirties,copilot,sky,fishing,sea,91640,>50K<=100K,high
male,65,sixties,ballet_dancer,theatre,bicycling,street,39550,<=50K,low
female,48,forties,agriculturist,countryside,boat_racing,sea,32100,<=50K,high
male,63,sixties,advocate,courtroom,bowling,amusement_park,132800,>100K,low
male,64,sixties,advocate,office,gymnastics,gym,132800,>100K,medium
female,29,twenties,beekeeper,farm,bicycling,park,24300,<=50K,high
male,61,sixties,dentist,surgery,bingo,casino,157480,>100K,low
male,37,thirties,basketball_coach,gym,american_football,football_field,38380,<=50K,medium
male,41,forties,associate_professor,university,bicycling,park,72420,>50K<=100K,low
male,42,forties,architect,office,roller_skating,skating_rink,71250,>50K<=100K,low
male,39,thirties,math_teacher,school,gymnastics,gym,47000,<=50K,medium
male,31,thirties,mime,circus,horse_racing,hippodrome,34500,<=50K,high
male,62,sixties,architect,architecture,gymnastics,gym,88350,>50K<=100K,high
female,49,forties,movie_actor,location,fishing,river,90780,>50K<=100K,high
female,38,thirties,esthetician,beauty_salon,bicycling,street,34500,<=50K,low
male,51,fifties,general_practitioner,hospital,bingo,casino,148500,>100K,low
male,54,fifties,agriculturist,farm,bicycling,park,32100,<=50K,high
female,46,forties,demonstrator,university,judo,gym,33209,<=50K,low
female,49,forties,ballet_dancer,school,golf,golf_course,40250,<=50K,low
female,70,seventies,criminologist,courtroom,bingo,casino,77142,>50K<=100K,low
female,68,sixties,demonstrator,university,bowling,amusement_park,33209,<=50K,low
male,53,fifties,copilot,sky,hurling,ballpark,131080,>100K,high
female,44,forties,breeder,countryside,chess,coffee_shop,32100,<=50K,high
female,31,thirties,agriculturist,countryside,roller_skating,skating_rink,29100,<=50K,high
male,37,thirties,cardiologist,surgery,jump_rope,street,232960,>100K,low
male,58,fifties,dishwasher,tavern,judo,gym,19260,<=50K,low
female,35,thirties,decorator,house,rock_climbing,wall_rock,43650,<=50K,low
female,57,fifties,demonstrator,university,roller_skating,skating_rink,33209,<=50K,low
female,29,twenties,general_practitioner,surgery,golf,golf_course,102600,>100K,low
male,59,fifties,journalist,office,auto_racing,racing_circuit,53550,>50K<=100K,high
female,68,sixties,esthetician,beauty_salon,bowling,amusement_park,40800,<=50K,low
male,33,thirties,electrician,street,bicycling,park,44620,<=50K,high
male,71,seventies,baseball_coach,court,billiards,pub,51300,>50K<=100K,low
female,75,seventies,graphic_designer,office,golf,golf_course,46740,<=50K,low
female,48,forties,demonstrator,university,ice_hockey,skating_rink,33209,<=50K,medium
male,35,thirties,baseball_coach,gym,boat_racing,sea,38380,<=50K,high
female,64,sixties,beekeeper,countryside,hurling,ballpark,39900,<=50K,high
male,44,forties,composer,studio,marbles,park,53411,>50K<=100K,low
male,42,forties,agriculturist,countryside,bingo,casino,32100,<=50K,medium
female,31,thirties,journalist,office,auto_racing,racing_circuit,29750,<=50K,high
female,29,twenties,chemist,school,boat_racing,sea,44590,<=50K,high
male,68,sixties,electrician,street,billiards,bar,56580,>50K<=100K,high
female,40,forties,clinical_psychologist,surgery,bingo,casino,84680,>50K<=100K,low
female,54,fifties,decorator,house,baseball,ballpark,50850,>50K<=100K,low
male,68,sixties,general_practitioner,surgery,horse_racing,hippodrome,175500,>100K,medium
female,59,fifties,agriculturist,farm,golf,golf_course,32100,<=50K,medium
male,69,sixties,civil_engineer,office,bowling,amusement_park,90280,>50K<=100K,high
female,44,forties,beekeeper,farm,volleyball,volleyball_court,32100,<=50K,high
female,66,sixties,ballet_dancer,school,darts,pub,39550,<=50K,low
male,54,fifties,advocate,courtroom,billiards,bar,118400,>100K,low
female,60,sixties,criminologist,courtroom,basketball,basketball_court,77142,>50K<=100K,low
female,75,seventies,assistant_professor,university,darts,pub,63440,>50K<=100K,low
male,61,sixties,civil_engineer,architecture,fishing,sea,90280,>50K<=100K,high
male,66,sixties,agriculturist,farm,boat_racing,sea,39900,<=50K,high
male,30,thirties,chiropractor,hospital,bowling,amusement_park,62130,>50K<=100K,low
male,44,forties,graphic_designer,office,rock_climbing,wall_rock,44460,<=50K,low
female,30,thirties,nurse,surgery,dancing,ballroom,59590,>50K<=100K,high
female,74,seventies,math_teacher,school,rock_climbing,wall_rock,47000,<=50K,low
male,38,thirties,advocate,courtroom,baseball,ballpark,96800,>50K<=100K,low
female,62,sixties,decorator,house,billiards,bar,59850,>50K<=100K,low
male,67,sixties,baseball_coach,court,billiards,bar,51300,>50K<=100K,low
female,34,thirties,cardiologist,hospital,horse_racing,hippodrome,232960,>100K,medium
male,62,sixties,assistant_professor,university,roller_skating,skating_rink,63440,>50K<=100K,low
male,31,thirties,journalist,office,fishing,sea,29750,<=50K,high
male,69,sixties,nurse,surgery,billiards,pub,70800,>50K<=100K,high
male,43,forties,mime,circus,bowling,amusement_park,38100,<=50K,medium
female,33,thirties,composer,house,boxing,boxing_ring,50868,>50K<=100K,low
male,42,forties,beekeeper,farm,auto_racing,racing_circuit,32100,<=50K,high
male,26,twenties,copilot,airport,basketball,basketball_court,54520,>50K<=100K,high
male,72,seventies,chemist,school,dancing,ballroom,73500,>50K<=100K,low
male,43,forties,lecturer,university,bowling,amusement_park,49220,<=50K,low
male,56,fifties,composer,studio,bowling,amusement_park,53411,>50K<=100K,low
male,37,thirties,breeder,farm,chess,coffee_shop,29100,<=50K,high
