gender,age,semAge,occupation,placeOfWork,activity,placeOfActivity,salaryClass,salaryCatClass,riskOfAccidentClass
female,55,fifties,demonstrator,university,gymnastics,gym,33209,<=50K,medium
male,23,twenties,civil_engineer,architecture,roller_skating,skating_rink,54900,>50K<=100K,high
male,42,forties,electrician,office,gymnastics,gym,50140,>50K<=100K,high
male,55,fifties,mime,street,hurling,ballpark,38100,<=50K,high
male,29,twenties,dentist,hospital,boat_racing,sea,114300,>100K,high
female,29,twenties,journalist,office,ice_hockey,skating_rink,30800,<=50K,high
male,69,sixties,dishwasher,tavern,billiards,bar,20880,<=50K,low
male,71,seventies,copilot,airport,scuba_diving,sea,175160,>100K,high
female,25,twenties,demonstrator,university,dominoes,bar,33209,<=50K,low
male,67,sixties,criminologist,office,darts,pub,77142,>50K<=100K,low
male,58,fifties,composer,studio,ice_skating,skating_rink,53411,>50K<=100K,low
male,31,thirties,civil_engineer,office,ice_skating,skating_rink,65270,>50K<=100K,high
male,69,sixties,composer,school,hurling,ballpark,53920,>50K<=100K,low
male,74,seventies,civil_engineer,architecture,dominoes,bar,90280,>50K<=100K,high
female,25,twenties,decorator,house,boat_racing,sea,40950,<=50K,high
male,73,seventies,copilot,sky,boat_racing,sea,175160,>100K,high
male,46,forties,choreographer,theatre,tennis,tennis_court,40250,<=50K,low
male,46,forties,composer,school,dancing,ballroom,53411,>50K<=100K,low
male,45,forties,school_principal,school,fishing,river,89040,>50K<=100K,low
female,57,fifties,clinical_psychologist,hospital,golf,golf_course,84680,>50K<=100K,low
male,58,fifties,composer,studio,scuba_diving,sea,53411,>50K<=100K,low
female,60,sixties,math_teacher,school,horse_racing,hippodrome,47000,<=50K,medium
female,47,forties,movie_actor,location,marbles,park,90780,>50K<=100K,high
female,39,thirties,esthetician,beauty_salon,gymnastics,gym,34500,<=50K,medium
male,39,thirties,clinical_psychologist,hospital,fishing,sea,73730,>50K<=100K,low
female,75,seventies,dishwasher,tavern,golf,golf_course,20880,<=50K,low
female,40,forties,esthetician,beauty_salon,ice_skating,skating_rink,37200,<=50K,low
male,44,forties,demonstrator,university,bowling,amusement_park,33209,<=50K,low
female,31,thirties,civil_engineer,architecture,dancing,ballroom,65270,>50K<=100K,high
female,35,thirties,math_teacher,school,dancing,ballroom,47000,<=50K,low
female,24,twenties,music_teacher,school,golf,golf_course,40590,<=50K,low
male,61,sixties,lecturer,university,chess,coffee_shop,52900,>50K<=100K,low
female,26,twenties,mime,street,hurling,ballpark,27300,<=50K,high
female,41,forties,criminologist,office,dancing,ballroom,68777,>50K<=100K,low
female,47,forties,choreographer,theatre,dancing,ballroom,40250,<=50K,low
female,47,forties,demonstrator,university,gymnastics,gym,33209,<=50K,medium
female,69,sixties,choreographer,theatre,darts,pub,40250,<=50K,low
female,42,forties,decorator,house,rock_climbing,wall_rock,50850,>50K<=100K,low
female,32,thirties,graphic_designer,office,dancing,ballroom,40660,<=50K,low
male,58,fifties,mime,circus,dominoes,pub,38100,<=50K,medium
male,64,sixties,mime,circus,hunting,jungle,38100,<=50K,high
male,71,seventies,mime,street,jump_rope,park,38100,<=50K,medium
male,73,seventies,magician,theatre,ice_skating,skating_rink,48000,<=50K,low
