gender,age,semAge,occupation,placeOfWork,activity,placeOfActivity,salaryClass,salaryCatClass,riskOfAccidentClass
male,29,twenties,composer,school,darts,pub,45781,<=50K,low
female,49,forties,choreographer,theatre,dancing,ballroom,40250,<=50K,low
male,66,sixties,baseball_coach,court,fishing,river,51300,>50K<=100K,low
female,58,fifties,criminologist,courtroom,judo,gym,68777,>50K<=100K,low
male,29,twenties,agriculturist,farm,scuba_diving,sea,24300,<=50K,high
female,49,forties,criminologist,office,marbles,street,68777,>50K<=100K,low
female,31,thirties,chiropractor,surgery,rugby,ballpark,62130,>50K<=100K,medium
female,75,seventies,esthetician,beauty_salon,ice_hockey,skating_rink,40800,<=50K,medium
female,57,fifties,dishwasher,restaurant,hunting,jungle,19260,<=50K,low
male,65,sixties,post_doc,university,boxing,boxing_ring,59770,>50K<=100K,low
female,41,forties,electrician,office,swimming,river,50140,>50K<=100K,high
female,35,thirties,decorator,house,rugby,ballpark,43650,<=50K,medium
female,30,thirties,optometrist,hospital,gymnastics,gym,99960,>50K<=100K,medium
male,46,forties,criminologist,office,marbles,street,68777,>50K<=100K,low
male,33,thirties,basketball_coach,court,ice_skating,skating_rink,38380,<=50K,low
male,58,fifties,breeder,countryside,gymnastics,gym,32100,<=50K,high
female,27,twenties,lecturer,university,chess,cafeteria,44160,<=50K,low
male,46,forties,dishwasher,restaurant,darts,bar,19260,<=50K,low
female,52,fifties,clinical_psychologist,surgery,golf,golf_course,84680,>50K<=100K,low
male,46,forties,baseball_coach,gym,hurling,ballpark,44840,<=50K,low
female,61,sixties,nutritionist,surgery,horse_racing,hippodrome,43600,<=50K,medium
female,37,thirties,clinical_psychologist,hospital,bingo,casino,73730,>50K<=100K,low
male,75,seventies,associate_professor,university,rock_climbing,wall_rock,75260,>50K<=100K,low
female,48,forties,copilot,airport,dancing,ballroom,131080,>100K,high
female,38,thirties,esthetician,beauty_salon,billiards,bar,34500,<=50K,low
male,58,fifties,copilot,airport,rugby,ballpark,131080,>100K,high
female,50,fifties,decorator,house,basketball,basketball_court,50850,>50K<=100K,low
male,23,twenties,electrician,office,hunting,forest,35420,<=50K,high
female,72,seventies,esthetician,beauty_salon,ice_skating,skating_rink,40800,<=50K,low
male,39,thirties,composer,studio,jump_rope,street,50868,>50K<=100K,low
female,31,thirties,general_practitioner,hospital,hunting,jungle,139050,>100K,low
female,28,twenties,graphic_designer,office,chess,cafeteria,34960,<=50K,low
male,54,fifties,beekeeper,countryside,golf,golf_course,32100,<=50K,high
male,66,sixties,breeder,farm,chess,cafeteria,39900,<=50K,high
female,24,twenties,criminologist,office,golf,golf_course,38106,<=50K,low
male,47,forties,clinical_psychologist,surgery,fishing,river,84680,>50K<=100K,low
male,59,fifties,magician,theatre,billiards,bar,44800,<=50K,low
female,59,fifties,baseball_coach,gym,roller_skating,skating_rink,44840,<=50K,low
male,64,sixties,breeder,farm,hurling,ballpark,39900,<=50K,high
male,37,thirties,dishwasher,restaurant,chess,coffee_shop,19260,<=50K,low
