gender,age,semAge,occupation,placeOfWork,activity,placeOfActivity,salaryClass,salaryCatClass,riskOfAccidentClass
male,59,fifties,clinical_psychologist,surgery,bicycling,park,84680,>50K<=100K,low
male,30,thirties,associate_professor,university,baseball,ballpark,71710,>50K<=100K,low
male,57,fifties,dishwasher,restaurant,american_football,ballpark,19260,<=50K,medium
male,65,sixties,dishwasher,tavern,american_football,ballpark,20880,<=50K,medium
male,25,twenties,pianist,theatre,bicycling,street,51240,>50K<=100K,low
male,34,thirties,general_practitioner,hospital,boat_racing,sea,139050,>100K,high
female,33,thirties,music_teacher,school,bicycling,street,45510,<=50K,low
female,65,sixties,esthetician,beauty_salon,gymnastics,gym,40800,<=50K,medium
female,65,sixties,opera_star,theatre,baseball,ballpark,59280,>50K<=100K,low
male,55,fifties,dentist,hospital,american_football,ballpark,146050,>100K,medium
female,70,seventies,massager,massage_parlor,baseball,ballpark,77900,>50K<=100K,low
male,75,seventies,divorce_lawyer,office,bicycling,street,103490,>100K,low
female,23,twenties,criminologist,office,darts,bar,38106,<=50K,low
male,63,sixties,composer,school,billiards,pub,53920,>50K<=100K,low
female,62,sixties,massager,massage_parlor,basketball,basketball_court,77900,>50K<=100K,low
female,28,twenties,dentist,hospital,billiards,pub,114300,>100K,low
male,60,sixties,mime,theatre,boxing,boxing_ring,38100,<=50K,low
male,66,sixties,math_teacher,school,basketball,basketball_court,47000,<=50K,low
male,60,sixties,dishwasher,tavern,roller_skating,skating_rink,20880,<=50K,low
male,52,fifties,composer,house,basketball,basketball_court,53411,>50K<=100K,low
male,69,sixties,breeder,farm,bicycling,park,39900,<=50K,high
female,72,seventies,chemist,school,american_football,ballpark,73500,>50K<=100K,medium
male,47,forties,massager,massage_parlor,bingo,casino,51250,>50K<=100K,low
female,38,thirties,massager,massage_parlor,billiards,pub,44690,<=50K,low
male,47,forties,divorce_lawyer,office,billiards,bar,93220,>50K<=100K,low
male,66,sixties,electrician,office,auto_racing,racing_circuit,56580,>50K<=100K,high
female,54,fifties,massager,massage_parlor,boat_racing,sea,51250,>50K<=100K,high
male,69,sixties,dishwasher,tavern,bingo,casino,20880,<=50K,low
female,40,forties,decorator,house,auto_racing,racing_circuit,50850,>50K<=100K,high
female,44,forties,veterinarian,farm,basketball,basketball_court,83220,>50K<=100K,high
female,56,fifties,clinical_psychologist,surgery,dancing,ballroom,84680,>50K<=100K,low
male,71,seventies,dishwasher,tavern,auto_racing,racing_circuit,20880,<=50K,high
male,41,forties,magician,circus,bicycling,park,44800,<=50K,high
female,61,sixties,veterinarian,farm,basketball,basketball_court,86140,>50K<=100K,high
male,45,forties,dentist,surgery,bicycling,street,146050,>100K,low
female,67,sixties,nutritionist,hospital,american_football,football_field,43600,<=50K,medium
female,58,fifties,dentist,surgery,auto_racing,racing_circuit,146050,>100K,high
female,33,thirties,graphic_designer,office,hunting,jungle,40660,<=50K,low
female,25,twenties,general_practitioner,hospital,bicycling,street,102600,>100K,low
female,52,fifties,massager,massage_parlor,bingo,casino,51250,>50K<=100K,low
female,63,sixties,movie_actor,location,chess,cafeteria,66750,>50K<=100K,high
female,38,thirties,dentist,surgery,hunting,forest,134620,>100K,low
female,47,forties,pianist,theatre,horse_racing,hippodrome,41160,<=50K,medium
male,52,fifties,dentist,hospital,boxing,boxing_ring,146050,>100K,low
male,70,seventies,dentist,hospital,bicycling,street,157480,>100K,low
male,36,thirties,beekeeper,farm,auto_racing,racing_circuit,29100,<=50K,high
male,34,thirties,baseball_coach,court,bicycling,street,38380,<=50K,low
female,33,thirties,demonstrator,university,bowling,amusement_park,33209,<=50K,low
female,62,sixties,general_practitioner,surgery,chess,cafeteria,175500,>100K,low
male,63,sixties,copilot,airport,baseball,ballpark,175160,>100K,high
female,22,twenties,magician,theatre,american_football,ballpark,32000,<=50K,medium
male,72,seventies,pediatrician,surgery,boxing,boxing_ring,157760,>100K,low
female,69,sixties,dentist,hospital,auto_racing,racing_circuit,157480,>100K,high
female,65,sixties,civil_engineer,office,auto_racing,racing_circuit,90280,>50K<=100K,high
male,25,twenties,dentist,hospital,auto_racing,racing_circuit,114300,>100K,high
male,74,seventies,agriculturist,farm,golf,golf_course,39900,<=50K,medium
female,48,forties,magician,circus,baseball,ballpark,44800,<=50K,high
female,65,sixties,graphic_designer,office,baseball,ballpark,46740,<=50K,low
male,74,seventies,breeder,countryside,auto_racing,racing_circuit,39900,<=50K,high
male,66,sixties,general_practitioner,surgery,baseball,ballpark,175500,>100K,low
male,71,seventies,civil_engineer,office,auto_racing,racing_circuit,90280,>50K<=100K,high
female,40,forties,nurse,surgery,american_football,football_field,66670,>50K<=100K,high
male,24,twenties,math_teacher,school,billiards,bar,47000,<=50K,low
male,57,fifties,associate_professor,university,auto_racing,racing_circuit,72420,>50K<=100K,high
male,46,forties,chiropractor,hospital,american_football,football_field,72390,>50K<=100K,medium
male,32,thirties,breeder,farm,basketball,basketball_court,29100,<=50K,high
female,33,thirties,clinical_psychologist,surgery,american_football,football_field,73730,>50K<=100K,medium
male,52,fifties,math_teacher,school,auto_racing,racing_circuit,47000,<=50K,high
male,72,seventies,nutritionist,surgery,american_football,football_field,43600,<=50K,medium
male,68,sixties,general_practitioner,hospital,american_football,football_field,175500,>100K,medium
male,52,fifties,electrician,house,american_football,ballpark,50140,>50K<=100K,high
female,39,thirties,clinical_psychologist,surgery,boat_racing,sea,73730,>50K<=100K,high
male,31,thirties,chemist,science_lab,auto_racing,racing_circuit,53410,>50K<=100K,high
female,29,twenties,divorce_lawyer,courtroom,bicycling,park,66360,>50K<=100K,low
male,33,thirties,copilot,sky,boat_racing,sea,91640,>50K<=100K,high
female,36,thirties,massager,massage_parlor,billiards,bar,44690,<=50K,low
female,55,fifties,movie_actor,location,baseball,ballpark,90780,>50K<=100K,high
male,28,twenties,breeder,farm,baseball,ballpark,24300,<=50K,high
female,56,fifties,choreographer,theatre,dominoes,bar,40250,<=50K,low
female,35,thirties,dentist,surgery,billiards,bar,134620,>100K,low
female,74,seventies,massager,massage_parlor,billiards,bar,77900,>50K<=100K,low
female,21,twenties,chemist,science_lab,bicycling,park,44590,<=50K,low
male,58,fifties,movie_actor,location,auto_racing,racing_circuit,90780,>50K<=100K,high
female,39,thirties,esthetician,beauty_salon,boat_racing,sea,34500,<=50K,high
female,70,seventies,lecturer,university,baseball,ballpark,52900,>50K<=100K,low
female,70,seventies,decorator,office,dominoes,pub,59850,>50K<=100K,low
female,73,seventies,criminologist,office,billiards,pub,77142,>50K<=100K,low
male,73,seventies,chiropractor,surgery,baseball,ballpark,86070,>50K<=100K,low
male,56,fifties,composer,studio,judo,gym,53411,>50K<=100K,low
female,70,seventies,lecturer,university,ice_skating,skating_rink,52900,>50K<=100K,low
male,70,seventies,composer,studio,billiards,bar,53920,>50K<=100K,low
male,52,fifties,criminologist,office,auto_racing,racing_circuit,68777,>50K<=100K,high
male,47,forties,civil_engineer,architecture,boxing,boxing_ring,77470,>50K<=100K,high
male,61,sixties,copilot,airport,basketball,basketball_court,175160,>100K,high
male,70,seventies,copilot,sky,auto_racing,racing_circuit,175160,>100K,high
male,70,seventies,chiropractor,hospital,bicycling,park,86070,>50K<=100K,low
