gender,age,semAge,occupation,placeOfWork,activity,placeOfActivity,salaryClass,salaryCatClass,riskOfAccidentClass
male,55,fifties,beekeeper,farm,ice_hockey,skating_rink,32100,<=50K,high
male,41,forties,advocate,courtroom,dominoes,pub,118400,>100K,low
male,21,twenties,math_teacher,school,boat_racing,sea,47000,<=50K,high
male,50,fifties,movie_actor,location,dominoes,pub,90780,>50K<=100K,high
male,70,seventies,beekeeper,farm,ice_skating,skating_rink,39900,<=50K,high
female,24,twenties,architect,architecture,boat_racing,sea,46170,<=50K,high
male,48,forties,architect,office,dominoes,bar,71250,>50K<=100K,low
female,57,fifties,associate_professor,university,boat_racing,sea,72420,>50K<=100K,high
male,72,seventies,civil_engineer,architecture,marbles,street,90280,>50K<=100K,high
male,36,thirties,associate_professor,university,dancing,ballroom,71710,>50K<=100K,low
female,70,seventies,decorator,house,dominoes,pub,59850,>50K<=100K,low
female,61,sixties,basketball_coach,gym,billiards,pub,51300,>50K<=100K,low
male,52,fifties,beekeeper,farm,ice_skating,skating_rink,32100,<=50K,high
female,26,twenties,demonstrator,university,chess,coffee_shop,33209,<=50K,low
male,59,fifties,baseball_coach,gym,bowling,amusement_park,44840,<=50K,low
male,63,sixties,agriculturist,countryside,gymnastics,gym,39900,<=50K,high
female,53,fifties,graphic_designer,office,ice_skating,skating_rink,44460,<=50K,low
female,60,sixties,architect,office,bicycling,street,88350,>50K<=100K,low
male,29,twenties,architect,office,boat_racing,sea,46170,<=50K,high
female,62,sixties,ballet_dancer,theatre,fishing,lake,39550,<=50K,low
male,24,twenties,copilot,airport,boxing,boxing_ring,54520,>50K<=100K,high
female,30,thirties,chiropractor,hospital,chess,coffee_shop,62130,>50K<=100K,low
female,59,fifties,choreographer,theatre,hurling,ballpark,40250,<=50K,low
female,36,thirties,assistant_professor,university,chess,cafeteria,61610,>50K<=100K,low
male,59,fifties,agriculturist,countryside,hunting,forest,32100,<=50K,high
male,35,thirties,software_engineer,office,gymnastics,gym,81320,>50K<=100K,medium
female,45,forties,ballet_dancer,theatre,bicycling,street,40250,<=50K,low
male,31,thirties,clinical_psychologist,hospital,horse_racing,hippodrome,73730,>50K<=100K,medium
female,63,sixties,basketball_coach,court,gymnastics,gym,51300,>50K<=100K,medium
female,48,forties,architect,architecture,boxing,boxing_ring,71250,>50K<=100K,high
male,28,twenties,associate_professor,university,billiards,pub,60350,>50K<=100K,low
female,60,sixties,advocate,office,billiards,pub,132800,>100K,low
female,28,twenties,architect,office,gymnastics,gym,46170,<=50K,medium
female,49,forties,math_teacher,school,chess,coffee_shop,47000,<=50K,low
female,42,forties,advocate,office,wrestling,wrestling_ring,118400,>100K,medium
male,73,seventies,breeder,farm,boat_racing,sea,39900,<=50K,high
female,49,forties,ballet_dancer,theatre,bowling,amusement_park,40250,<=50K,low
female,68,sixties,choreographer,theatre,gymnastics,gym,40250,<=50K,medium
female,44,forties,ballet_dancer,theatre,horse_racing,hippodrome,40250,<=50K,medium
female,23,twenties,decorator,house,hunting,forest,40950,<=50K,low
male,32,thirties,breeder,countryside,chess,cafeteria,29100,<=50K,high
male,52,fifties,choreographer,theatre,gymnastics,gym,40250,<=50K,medium
female,63,sixties,architect,office,dominoes,pub,88350,>50K<=100K,low
female,64,sixties,architect,office,hunting,forest,88350,>50K<=100K,low
male,61,sixties,civil_engineer,architecture,billiards,pub,90280,>50K<=100K,high
male,63,sixties,baseball_coach,gym,dominoes,bar,51300,>50K<=100K,low
male,57,fifties,agriculturist,countryside,bicycling,street,32100,<=50K,high
male,51,fifties,miner,mine,ice_hockey,skating_rink,50440,>50K<=100K,high
male,33,thirties,beekeeper,countryside,bowling,amusement_park,29100,<=50K,high
female,53,fifties,breeder,farm,dancing,ballroom,32100,<=50K,high
male,32,thirties,dishwasher,restaurant,boat_racing,sea,19260,<=50K,high
female,38,thirties,assistant_professor,university,darts,bar,61610,>50K<=100K,low
male,24,twenties,associate_professor,university,dancing,ballroom,60350,>50K<=100K,low
male,65,sixties,magician,circus,dancing,ballroom,48000,<=50K,medium
male,36,thirties,assistant_professor,university,hurling,ballpark,61610,>50K<=100K,low
female,28,twenties,criminologist,office,boat_racing,sea,38106,<=50K,high
female,27,twenties,decorator,house,chess,cafeteria,40950,<=50K,low
female,66,sixties,agriculturist,farm,boat_racing,sea,39900,<=50K,high
female,25,twenties,architect,office,darts,pub,46170,<=50K,low
male,61,sixties,agriculturist,countryside,rock_climbing,wall_rock,39900,<=50K,high
female,66,sixties,choreographer,theatre,fishing,river,40250,<=50K,low
female,52,fifties,ballet_dancer,school,billiards,pub,40250,<=50K,low
female,73,seventies,composer,school,fishing,river,53920,>50K<=100K,low
female,32,thirties,demonstrator,university,fishing,river,33209,<=50K,low
male,37,thirties,associate_professor,university,gymnastics,gym,71710,>50K<=100K,medium
male,31,thirties,chemist,science_lab,horse_racing,hippodrome,53410,>50K<=100K,medium
female,43,forties,ballet_dancer,school,billiards,pub,40250,<=50K,low
female,63,sixties,beekeeper,countryside,billiards,pub,39900,<=50K,high
female,48,forties,baseball_coach,court,dominoes,pub,44840,<=50K,low
female,70,seventies,ballet_dancer,theatre,gymnastics,gym,39550,<=50K,medium
female,23,twenties,agriculturist,countryside,baseball,ballpark,24300,<=50K,high
male,24,twenties,chemist,school,golf,golf_course,44590,<=50K,low
female,53,fifties,breeder,farm,hurling,ballpark,32100,<=50K,high
female,66,sixties,demonstrator,university,dominoes,pub,33209,<=50K,low
male,46,forties,architect,office,hunting,jungle,71250,>50K<=100K,low
male,50,fifties,associate_professor,university,dancing,ballroom,72420,>50K<=100K,low
male,67,sixties,assistant_professor,university,rock_climbing,wall_rock,63440,>50K<=100K,low
female,36,thirties,chemist,school,hunting,forest,53410,>50K<=100K,low
female,72,seventies,choreographer,theatre,boxing,boxing_ring,40250,<=50K,low
female,30,thirties,ballet_dancer,school,gymnastics,gym,41300,<=50K,medium
male,50,fifties,mime,theatre,jump_rope,street,38100,<=50K,low
female,29,twenties,baseball_coach,court,chess,cafeteria,31160,<=50K,low
male,63,sixties,advocate,office,fishing,river,132800,>100K,low
male,42,forties,agriculturist,farm,fishing,lake,32100,<=50K,medium
female,56,fifties,architect,office,boat_racing,sea,71250,>50K<=100K,high
male,66,sixties,baseball_coach,court,dancing,ballroom,51300,>50K<=100K,low
male,34,thirties,associate_professor,university,roller_skating,skating_rink,71710,>50K<=100K,low
female,62,sixties,ballet_dancer,theatre,ice_hockey,skating_rink,39550,<=50K,medium
male,66,sixties,agriculturist,countryside,boxing,boxing_ring,39900,<=50K,high
female,66,sixties,ballet_dancer,school,hurling,ballpark,39550,<=50K,low
female,55,fifties,assistant_professor,university,snorkeling,sea,62220,>50K<=100K,low
female,34,thirties,choreographer,theatre,dominoes,pub,41300,<=50K,low
female,73,seventies,assistant_professor,university,hunting,jungle,63440,>50K<=100K,low
male,54,fifties,clinical_psychologist,hospital,bicycling,street,84680,>50K<=100K,low
female,35,thirties,ballet_dancer,theatre,dancing,ballroom,41300,<=50K,low
male,55,fifties,public_defender,courtroom,boat_racing,sea,83740,>50K<=100K,high
male,49,forties,assistant_professor,university,ice_hockey,skating_rink,62220,>50K<=100K,medium
male,29,twenties,architect,architecture,rock_climbing,wall_rock,46170,<=50K,high
male,28,twenties,architect,architecture,darts,bar,46170,<=50K,medium
female,34,thirties,baseball_coach,court,running,gym,38380,<=50K,low
male,57,fifties,chiropractor,hospital,fishing,river,72390,>50K<=100K,low
female,37,thirties,breeder,farm,fishing,sea,29100,<=50K,high
male,75,seventies,breeder,countryside,auto_racing,racing_circuit,39900,<=50K,high
male,41,forties,associate_professor,university,fishing,sea,72420,>50K<=100K,low
male,66,sixties,composer,house,fishing,lake,53920,>50K<=100K,low
male,47,forties,chemist,school,baseball,ballpark,61740,>50K<=100K,low
male,72,seventies,chemist,school,dominoes,pub,73500,>50K<=100K,low
male,52,fifties,dishwasher,restaurant,hurling,ballpark,19260,<=50K,low
male,23,twenties,demonstrator,university,boxing,boxing_ring,33209,<=50K,low
female,43,forties,massager,massage_parlor,bicycling,park,51250,>50K<=100K,low
male,49,forties,chemist,science_lab,chess,cafeteria,61740,>50K<=100K,low
male,56,fifties,agriculturist,countryside,fishing,river,32100,<=50K,medium
male,38,thirties,composer,studio,marbles,park,50868,>50K<=100K,low
male,37,thirties,agriculturist,farm,running,cinder_track,29100,<=50K,medium
male,75,seventies,advocate,courtroom,bowling,amusement_park,132800,>100K,low
male,25,twenties,basketball_coach,court,bicycling,street,31160,<=50K,low
female,66,sixties,ballet_dancer,school,hunting,jungle,39550,<=50K,low
male,64,sixties,clinical_psychologist,hospital,boxing,boxing_ring,91250,>50K<=100K,low
male,69,sixties,cardiologist,hospital,wrestling,wrestling_ring,275520,>100K,medium
female,68,sixties,clinical_psychologist,surgery,dominoes,pub,91250,>50K<=100K,low
female,65,sixties,chemist,school,golf,golf_course,73500,>50K<=100K,low
male,32,thirties,advocate,courtroom,boxing,boxing_ring,96800,>50K<=100K,low
male,45,forties,chemist,school,bingo,casino,61740,>50K<=100K,low
male,23,twenties,breeder,farm,chess,coffee_shop,24300,<=50K,high
male,26,twenties,agriculturist,countryside,ice_skating,skating_rink,24300,<=50K,high
male,42,forties,general_practitioner,surgery,roller_skating,skating_rink,148500,>100K,low
male,42,forties,music_teacher,school,golf,golf_course,48790,<=50K,low
male,25,twenties,breeder,farm,boxing,boxing_ring,24300,<=50K,high
male,27,twenties,architect,architecture,boxing,boxing_ring,46170,<=50K,high
male,75,seventies,criminologist,courtroom,chess,cafeteria,77142,>50K<=100K,low
male,27,twenties,assistant_professor,university,billiards,bar,60390,>50K<=100K,low
female,47,forties,architect,office,boat_racing,sea,71250,>50K<=100K,high
female,72,seventies,ballet_dancer,school,rock_climbing,wall_rock,39550,<=50K,low
male,49,forties,architect,architecture,horse_racing,hippodrome,71250,>50K<=100K,high
female,27,twenties,criminologist,office,golf,golf_course,38106,<=50K,low
female,50,fifties,baseball_coach,gym,gymnastics,gym,44840,<=50K,medium
male,35,thirties,associate_professor,university,fishing,river,71710,>50K<=100K,low
female,54,fifties,choreographer,theatre,judo,gym,40250,<=50K,low
male,69,sixties,beekeeper,farm,running,gym,39900,<=50K,high
female,40,forties,ballet_dancer,theatre,golf,golf_course,40250,<=50K,low
male,53,fifties,breeder,countryside,golf,golf_course,32100,<=50K,high
female,64,sixties,ballet_dancer,school,chess,cafeteria,39550,<=50K,low
male,53,fifties,baseball_coach,court,billiards,bar,44840,<=50K,low
male,44,forties,cardiologist,hospital,ice_skating,skating_rink,250880,>100K,low
male,25,twenties,basketball_coach,gym,bingo,casino,31160,<=50K,low
female,38,thirties,journalist,office,dominoes,pub,29750,<=50K,high
male,71,seventies,agriculturist,farm,marbles,street,39900,<=50K,medium
male,38,thirties,architect,office,darts,pub,57570,>50K<=100K,low
male,39,thirties,baseball_coach,court,dominoes,pub,38380,<=50K,low
male,72,seventies,breeder,farm,bicycling,street,39900,<=50K,high
male,62,sixties,copilot,airport,fishing,sea,175160,>100K,high
female,54,fifties,visiting_professor,university,darts,bar,63440,>50K<=100K,low
female,67,sixties,architect,architecture,jump_rope,park,88350,>50K<=100K,medium
female,68,sixties,architect,architecture,darts,bar,88350,>50K<=100K,medium
male,26,twenties,assistant_professor,university,chess,coffee_shop,60390,>50K<=100K,low
female,42,forties,lecturer,university,golf,golf_course,49220,<=50K,low
