gender,age,semAge,occupation,placeOfWork,activity,placeOfActivity,salaryClass,salaryCatClass,riskOfAccidentClass
female,66,sixties,general_practitioner,hospital,bicycling,street,175500,>100K,low
male,38,thirties,assistant_professor,university,american_football,ballpark,61610,>50K<=100K,medium
male,66,sixties,general_practitioner,hospital,basketball,basketball_court,175500,>100K,low
female,74,seventies,demonstrator,university,baseball,ballpark,33209,<=50K,low
male,49,forties,beekeeper,farm,auto_racing,racing_circuit,32100,<=50K,high
female,22,twenties,chiropractor,surgery,auto_racing,racing_circuit,50160,>50K<=100K,high
male,43,forties,clinical_psychologist,hospital,ice_hockey,skating_rink,84680,>50K<=100K,medium
male,56,fifties,mime,street,american_football,ballpark,38100,<=50K,high
female,52,fifties,music_teacher,school,baseball,ballpark,48790,<=50K,low
female,27,twenties,choreographer,theatre,american_football,football_field,34650,<=50K,medium
female,71,seventies,graphic_designer,office,baseball,ballpark,46740,<=50K,low
female,69,sixties,decorator,office,marbles,street,59850,>50K<=100K,low
male,54,fifties,associate_professor,university,auto_racing,racing_circuit,72420,>50K<=100K,high
female,65,sixties,nurse,surgery,american_football,football_field,70800,>50K<=100K,high
male,45,forties,miner,mine,auto_racing,racing_circuit,50440,>50K<=100K,high
male,25,twenties,electrician,street,water-skiing,sea,35420,<=50K,high
male,65,sixties,demonstrator,university,roller_skating,skating_rink,33209,<=50K,low
female,52,fifties,general_practitioner,surgery,american_football,ballpark,148500,>100K,medium
male,75,seventies,baseball_coach,court,auto_racing,racing_circuit,51300,>50K<=100K,high
male,47,forties,school_principal,school,ice_hockey,skating_rink,89040,>50K<=100K,medium
female,28,twenties,baseball_coach,gym,auto_racing,racing_circuit,31160,<=50K,high
female,69,sixties,divorce_lawyer,courtroom,auto_racing,racing_circuit,103490,>100K,high
female,69,sixties,decorator,office,basketball,basketball_court,59850,>50K<=100K,low
male,47,forties,baseball_coach,court,auto_racing,racing_circuit,44840,<=50K,high
male,22,twenties,dentist,hospital,american_football,ballpark,114300,>100K,medium
female,33,thirties,magician,theatre,rock_climbing,wall_rock,44000,<=50K,low
male,74,seventies,mime,street,judo,gym,38100,<=50K,high
male,65,sixties,clinical_psychologist,surgery,american_football,football_field,91250,>50K<=100K,medium
female,57,fifties,criminologist,office,basketball,basketball_court,68777,>50K<=100K,low
male,58,fifties,breeder,countryside,auto_racing,racing_circuit,32100,<=50K,high
female,63,sixties,chiropractor,hospital,bicycling,park,86070,>50K<=100K,low
male,57,fifties,breeder,farm,baseball,ballpark,32100,<=50K,high
male,56,fifties,basketball_coach,court,baseball,ballpark,44840,<=50K,low
female,39,thirties,chiropractor,hospital,rugby,ballpark,62130,>50K<=100K,medium
female,50,fifties,journalist,office,ice_skating,skating_rink,53550,>50K<=100K,high
male,34,thirties,graphic_designer,office,american_football,ballpark,40660,<=50K,medium
male,22,twenties,beekeeper,farm,baseball,ballpark,24300,<=50K,high
male,21,twenties,general_practitioner,hospital,american_football,ballpark,102600,>100K,medium
female,48,forties,nutritionist,hospital,american_football,ballpark,42400,<=50K,medium
female,66,sixties,journalist,office,rock_climbing,wall_rock,60900,>50K<=100K,high
female,69,sixties,advocate,courtroom,american_football,football_field,132800,>100K,medium
male,29,twenties,demonstrator,university,billiards,bar,33209,<=50K,low
male,38,thirties,dishwasher,tavern,auto_racing,racing_circuit,19260,<=50K,high
female,21,twenties,math_teacher,school,hurling,ballpark,47000,<=50K,low
