gender,age,semAge,occupation,placeOfWork,activity,placeOfActivity,salaryClass,salaryCatClass,riskOfAccidentClass
female,66,sixties,divorce_lawyer,courtroom,american_football,football_field,103490,>100K,medium
male,38,thirties,assistant_professor,university,bingo,casino,61610,>50K<=100K,low
male,42,forties,chiropractor,hospital,dominoes,bar,72390,>50K<=100K,low
male,66,sixties,dentist,hospital,american_football,football_field,157480,>100K,medium
male,70,seventies,chiropractor,hospital,auto_racing,racing_circuit,86070,>50K<=100K,high
female,64,sixties,decorator,house,billiards,bar,59850,>50K<=100K,low
male,31,thirties,agriculturist,countryside,bingo,casino,29100,<=50K,medium
female,61,sixties,esthetician,beauty_salon,bingo,casino,40800,<=50K,low
male,67,sixties,architect,office,auto_racing,racing_circuit,88350,>50K<=100K,high
male,55,fifties,assistant_professor,university,bingo,casino,62220,>50K<=100K,low
male,57,fifties,architect,architecture,billiards,bar,71250,>50K<=100K,medium
male,31,thirties,associate_professor,university,horse_racing,hippodrome,71710,>50K<=100K,medium
male,63,sixties,basketball_coach,court,table_tennis,gym,51300,>50K<=100K,low
male,67,sixties,chiropractor,surgery,american_football,ballpark,86070,>50K<=100K,medium
male,67,sixties,advocate,courtroom,golf,golf_course,132800,>100K,low
male,28,twenties,advocate,courtroom,baseball,ballpark,65600,>50K<=100K,low
female,25,twenties,cardiologist,hospital,hurling,ballpark,159040,>100K,low
female,27,twenties,dishwasher,tavern,chess,coffee_shop,17640,<=50K,low
male,63,sixties,pilot,sky,gymnastics,gym,175160,>100K,high
male,70,seventies,journalist,office,american_football,ballpark,60900,>50K<=100K,high
male,63,sixties,basketball_coach,gym,dancing,ballroom,51300,>50K<=100K,low
female,60,sixties,dishwasher,tavern,soccer,ballpark,20880,<=50K,low
female,22,twenties,divorce_lawyer,courtroom,chess,coffee_shop,66360,>50K<=100K,low
male,60,sixties,beekeeper,farm,baseball,ballpark,39900,<=50K,high
female,38,thirties,clinical_psychologist,hospital,hunting,forest,73730,>50K<=100K,low
male,68,sixties,breeder,farm,baseball,ballpark,39900,<=50K,high
female,46,forties,decorator,house,darts,bar,50850,>50K<=100K,low
male,37,thirties,nurse,hospital,bowling,amusement_park,59590,>50K<=100K,high
female,45,forties,agriculturist,farm,boxing,boxing_ring,32100,<=50K,high
female,41,forties,decorator,office,dominoes,bar,50850,>50K<=100K,low
male,32,thirties,associate_professor,university,darts,pub,71710,>50K<=100K,low
male,21,twenties,composer,school,golf,golf_course,45781,<=50K,low
male,74,seventies,agriculturist,countryside,fishing,sea,39900,<=50K,high
female,53,fifties,decorator,office,bowling,amusement_park,50850,>50K<=100K,low
female,69,sixties,decorator,house,american_football,football_field,59850,>50K<=100K,medium
male,55,fifties,copilot,sky,basketball,basketball_court,131080,>100K,high
female,48,forties,ballet_dancer,school,dominoes,bar,40250,<=50K,low
male,71,seventies,chemist,school,bicycling,street,73500,>50K<=100K,low
male,62,sixties,cardiologist,surgery,fishing,lake,275520,>100K,low
female,56,fifties,choreographer,theatre,chess,coffee_shop,40250,<=50K,low
male,31,thirties,civil_engineer,office,bicycling,park,65270,>50K<=100K,high
male,30,thirties,movie_actor,location,fishing,lake,89000,>50K<=100K,high
female,74,seventies,breeder,farm,billiards,bar,39900,<=50K,high
male,71,seventies,beekeeper,farm,baseball,ballpark,39900,<=50K,high
male,70,seventies,basketball_coach,gym,rock_climbing,wall_rock,51300,>50K<=100K,low
male,64,sixties,basketball_coach,court,auto_racing,racing_circuit,51300,>50K<=100K,high
female,31,thirties,journalist,office,auto_racing,racing_circuit,29750,<=50K,high
male,26,twenties,civil_engineer,architecture,american_football,football_field,54900,>50K<=100K,high
male,48,forties,graphic_designer,office,american_football,football_field,44460,<=50K,medium
female,70,seventies,ballet_dancer,school,golf,golf_course,39550,<=50K,low
male,41,forties,advocate,courtroom,boxing,boxing_ring,118400,>100K,low
female,66,sixties,advocate,office,baseball,ballpark,132800,>100K,low
female,27,twenties,demonstrator,university,bowling,amusement_park,33209,<=50K,low
female,67,sixties,criminologist,courtroom,basketball,basketball_court,77142,>50K<=100K,low
male,74,seventies,copilot,airport,darts,pub,175160,>100K,high
female,33,thirties,associate_professor,university,auto_racing,racing_circuit,71710,>50K<=100K,high
female,65,sixties,dishwasher,tavern,gymnastics,gym,20880,<=50K,medium
female,52,fifties,decorator,office,darts,bar,50850,>50K<=100K,low
female,63,sixties,criminologist,courtroom,american_football,ballpark,77142,>50K<=100K,medium
male,26,twenties,miner,mine,hurling,ballpark,47320,<=50K,high
male,44,forties,dishwasher,tavern,dominoes,pub,19260,<=50K,low
male,55,fifties,demonstrator,university,bicycling,park,33209,<=50K,low
male,75,seventies,architect,office,hunting,forest,88350,>50K<=100K,low
male,55,fifties,electrician,office,american_football,ballpark,50140,>50K<=100K,high
female,61,sixties,architect,office,basketball,basketball_court,88350,>50K<=100K,low
female,37,thirties,composer,school,dancing,ballroom,50868,>50K<=100K,low
female,74,seventies,ballet_dancer,school,basketball,basketball_court,39550,<=50K,low
male,50,fifties,beekeeper,farm,chess,cafeteria,32100,<=50K,high
female,55,fifties,associate_professor,university,hurling,ballpark,72420,>50K<=100K,low
female,40,forties,magician,circus,billiards,bar,44800,<=50K,medium
male,54,fifties,civil_engineer,architecture,boxing,boxing_ring,77470,>50K<=100K,high
female,70,seventies,sculptor,studio,billiards,bar,60680,>50K<=100K,low
female,62,sixties,advocate,office,darts,pub,132800,>100K,low
female,26,twenties,baseball_coach,court,fishing,sea,31160,<=50K,low
female,66,sixties,assistant_professor,university,auto_racing,racing_circuit,63440,>50K<=100K,high
female,23,twenties,associate_professor,university,auto_racing,racing_circuit,60350,>50K<=100K,high
female,71,seventies,criminologist,courtroom,boxing,boxing_ring,77142,>50K<=100K,low
male,25,twenties,architect,office,horse_racing,hippodrome,46170,<=50K,medium
male,43,forties,composer,school,bicycling,street,53411,>50K<=100K,low
male,23,twenties,advocate,courtroom,bingo,casino,65600,>50K<=100K,low
female,57,fifties,graphic_designer,office,golf,golf_course,44460,<=50K,low
male,29,twenties,baseball_coach,gym,snorkeling,sea,31160,<=50K,low
female,67,sixties,chemist,science_lab,chess,coffee_shop,73500,>50K<=100K,low
male,64,sixties,breeder,countryside,boxing,boxing_ring,39900,<=50K,high
female,21,twenties,esthetician,beauty_salon,basketball,basketball_court,28200,<=50K,low
male,62,sixties,civil_engineer,office,dominoes,bar,90280,>50K<=100K,high
female,26,twenties,demonstrator,university,bowling,amusement_park,33209,<=50K,low
male,52,fifties,copilot,sky,auto_racing,racing_circuit,131080,>100K,high
male,46,forties,breeder,farm,bowling,amusement_park,32100,<=50K,high
female,69,sixties,baseball_coach,gym,horse_racing,hippodrome,51300,>50K<=100K,medium
male,49,forties,dishwasher,tavern,horse_racing,hippodrome,19260,<=50K,medium
male,72,seventies,copilot,sky,dominoes,bar,175160,>100K,high
female,27,twenties,advocate,office,chess,cafeteria,65600,>50K<=100K,low
female,63,sixties,clinical_psychologist,surgery,auto_racing,racing_circuit,91250,>50K<=100K,high
female,36,thirties,choreographer,theatre,baseball,ballpark,41300,<=50K,low
male,62,sixties,copilot,sky,bingo,casino,175160,>100K,high
male,73,seventies,basketball_coach,court,horse_racing,hippodrome,51300,>50K<=100K,medium
female,45,forties,basketball_coach,gym,american_football,football_field,44840,<=50K,medium
male,58,fifties,architect,office,billiards,bar,71250,>50K<=100K,low
female,54,fifties,choreographer,theatre,boxing,boxing_ring,40250,<=50K,low
male,45,forties,electrician,office,darts,pub,50140,>50K<=100K,high
male,25,twenties,beekeeper,countryside,baseball,ballpark,24300,<=50K,high
male,75,seventies,massager,massage_parlor,dominoes,pub,77900,>50K<=100K,low
female,46,forties,baseball_coach,gym,bingo,casino,44840,<=50K,low
male,53,fifties,dishwasher,restaurant,horse_racing,hippodrome,19260,<=50K,medium
female,49,forties,demonstrator,university,boxing,boxing_ring,33209,<=50K,low
female,61,sixties,choreographer,theatre,fishing,sea,40250,<=50K,low
female,43,forties,clinical_psychologist,hospital,ice_skating,skating_rink,84680,>50K<=100K,low
male,28,twenties,journalist,office,boxing,boxing_ring,30800,<=50K,high
male,71,seventies,breeder,farm,chess,cafeteria,39900,<=50K,high
female,70,seventies,ballet_dancer,school,dancing,ballroom,39550,<=50K,low
male,32,thirties,magician,theatre,bicycling,street,44000,<=50K,low
male,41,forties,dishwasher,restaurant,baseball,ballpark,19260,<=50K,low
male,65,sixties,breeder,countryside,bicycling,park,39900,<=50K,high
