gender,age,semAge,occupation,placeOfWork,activity,placeOfActivity,salaryClass,salaryCatClass,riskOfAccidentClass
female,54,fifties,associate_professor,university,surfing,sea,72420,>50K<=100K,low
female,50,fifties,esthetician,beauty_salon,golf,golf_course,37200,<=50K,low
female,44,forties,ballet_dancer,school,rock_climbing,wall_rock,40250,<=50K,low
male,59,fifties,agriculturist,farm,ice_hockey,skating_rink,32100,<=50K,high
female,72,seventies,optometrist,hospital,dominoes,pub,111720,>100K,low
female,32,thirties,choreographer,theatre,rock_climbing,wall_rock,41300,<=50K,low
male,66,sixties,electrician,house,boxing,boxing_ring,56580,>50K<=100K,high
male,49,forties,dishwasher,tavern,rugby,ballpark,19260,<=50K,medium
male,38,thirties,chemist,science_lab,gymnastics,gym,53410,>50K<=100K,medium
female,35,thirties,associate_professor,university,ice_hockey,skating_rink,71710,>50K<=100K,medium
female,56,fifties,criminologist,courtroom,roller_skating,skating_rink,68777,>50K<=100K,low
male,69,sixties,composer,studio,jump_rope,street,53920,>50K<=100K,low
female,35,thirties,chemist,school,hunting,jungle,53410,>50K<=100K,low
male,39,thirties,civil_engineer,office,dominoes,bar,65270,>50K<=100K,high
female,52,fifties,demonstrator,university,hunting,forest,33209,<=50K,low
female,30,thirties,math_teacher,school,hurling,ballpark,47000,<=50K,low
male,56,fifties,clinical_psychologist,hospital,horse_racing,hippodrome,84680,>50K<=100K,medium
male,28,twenties,agriculturist,countryside,marbles,street,24300,<=50K,medium
male,60,sixties,dentist,hospital,rugby,ballpark,157480,>100K,medium
male,33,thirties,criminologist,office,water-skiing,lake,56230,>50K<=100K,low
male,47,forties,electrician,office,marbles,park,50140,>50K<=100K,high
female,59,fifties,ballet_dancer,school,dancing,ballroom,40250,<=50K,low
female,60,sixties,ballet_dancer,school,ice_hockey,skating_rink,39550,<=50K,medium
female,59,fifties,decorator,office,snorkeling,sea,50850,>50K<=100K,low
female,23,twenties,baseball_coach,gym,judo,gym,31160,<=50K,low
male,21,twenties,general_practitioner,hospital,roller_skating,skating_rink,102600,>100K,low
male,30,thirties,post_doc,university,hunting,jungle,46010,<=50K,low
female,74,seventies,decorator,office,ice_hockey,skating_rink,59850,>50K<=100K,medium
female,67,sixties,ballet_dancer,theatre,dancing,ballroom,39550,<=50K,low
male,44,forties,associate_professor,university,hurling,ballpark,72420,>50K<=100K,low
female,65,sixties,baseball_coach,court,chess,cafeteria,51300,>50K<=100K,low
female,40,forties,ballet_dancer,theatre,golf,golf_course,40250,<=50K,low
male,55,fifties,cardiologist,hospital,ice_skating,skating_rink,250880,>100K,low
female,62,sixties,assistant_professor,university,judo,gym,63440,>50K<=100K,low
male,35,thirties,composer,school,dominoes,bar,50868,>50K<=100K,low
female,70,seventies,breeder,countryside,boxing,boxing_ring,39900,<=50K,high
male,57,fifties,composer,studio,roller_skating,skating_rink,53411,>50K<=100K,low
male,26,twenties,chiropractor,hospital,hunting,jungle,50160,>50K<=100K,low
male,72,seventies,clinical_psychologist,hospital,judo,gym,91250,>50K<=100K,low
male,58,fifties,cardiologist,surgery,bowling,amusement_park,250880,>100K,low
female,56,fifties,choreographer,theatre,bowling,amusement_park,40250,<=50K,low
male,33,thirties,general_practitioner,surgery,chess,coffee_shop,139050,>100K,low
female,40,forties,agriculturist,countryside,fishing,sea,32100,<=50K,high
male,56,fifties,miner,mine,dancing,ballroom,50440,>50K<=100K,high
male,57,fifties,dishwasher,restaurant,judo,gym,19260,<=50K,low
female,58,fifties,advocate,office,jump_rope,park,118400,>100K,low
female,71,seventies,baseball_coach,gym,darts,bar,51300,>50K<=100K,low
male,62,sixties,chiropractor,surgery,darts,bar,86070,>50K<=100K,low
female,31,thirties,nutritionist,surgery,hurling,ballpark,42000,<=50K,low
male,54,fifties,advocate,courtroom,judo,gym,118400,>100K,low
female,40,forties,architect,architecture,gymnastics,gym,71250,>50K<=100K,high
male,64,sixties,breeder,countryside,surfing,sea,39900,<=50K,high
male,25,twenties,civil_engineer,architecture,snorkeling,sea,54900,>50K<=100K,high
male,31,thirties,agriculturist,countryside,ice_skating,skating_rink,29100,<=50K,high
female,52,fifties,decorator,office,marbles,park,50850,>50K<=100K,low
female,63,sixties,ballet_dancer,school,jump_rope,park,39550,<=50K,low
male,69,sixties,breeder,farm,gymnastics,gym,39900,<=50K,high
male,26,twenties,dentist,hospital,ice_skating,skating_rink,114300,>100K,low
male,35,thirties,associate_professor,university,running,cinder_track,71710,>50K<=100K,low
female,26,twenties,divorce_lawyer,office,hunting,forest,66360,>50K<=100K,low
male,39,thirties,beekeeper,countryside,scuba_diving,sea,29100,<=50K,high
female,74,seventies,advocate,courtroom,judo,gym,132800,>100K,low
female,44,forties,agriculturist,countryside,ice_skating,skating_rink,32100,<=50K,high
female,50,fifties,clinical_psychologist,surgery,table_tennis,gym,84680,>50K<=100K,low
female,37,thirties,choreographer,theatre,hurling,ballpark,41300,<=50K,low
female,35,thirties,demonstrator,university,marbles,park,33209,<=50K,low
male,74,seventies,associate_professor,university,hunting,forest,75260,>50K<=100K,low
male,52,fifties,associate_professor,university,chess,coffee_shop,72420,>50K<=100K,low
female,31,thirties,decorator,office,ice_skating,skating_rink,43650,<=50K,low
male,55,fifties,breeder,countryside,ice_skating,skating_rink,32100,<=50K,high
male,60,sixties,breeder,countryside,chess,cafeteria,39900,<=50K,high
male,53,fifties,ballet_dancer,theatre,hunting,forest,40250,<=50K,low
female,56,fifties,graphic_designer,office,roller_skating,skating_rink,44460,<=50K,low
male,26,twenties,lecturer,university,snorkeling,cave,44160,<=50K,low
female,75,seventies,chiropractor,hospital,darts,bar,86070,>50K<=100K,low
male,34,thirties,copilot,sky,rock_climbing,wall_rock,91640,>50K<=100K,high
female,27,twenties,clinical_psychologist,hospital,scuba_diving,sea,63510,>50K<=100K,low
male,22,twenties,movie_actor,location,running,gym,71200,>50K<=100K,high
male,33,thirties,graphic_designer,office,running,gym,40660,<=50K,low
male,47,forties,basketball_coach,gym,marbles,park,44840,<=50K,low
male,44,forties,chiropractor,hospital,hunting,jungle,72390,>50K<=100K,low
male,25,twenties,basketball_coach,gym,darts,pub,31160,<=50K,low
male,38,thirties,assistant_professor,university,boxing,boxing_ring,61610,>50K<=100K,low
male,64,sixties,civil_engineer,office,roller_skating,skating_rink,90280,>50K<=100K,high
male,75,seventies,criminologist,office,fishing,river,77142,>50K<=100K,low
male,39,thirties,miner,mine,dancing,ballroom,58240,>50K<=100K,high
male,28,twenties,miner,mine,rock_climbing,wall_rock,47320,<=50K,high
