gender,age,semAge,occupation,placeOfWork,activity,placeOfActivity,salaryClass,salaryCatClass,riskOfAccidentClass
male,69,sixties,pianist,theatre,snorkeling,sea,41160,<=50K,low
female,51,fifties,optometrist,hospital,boat_racing,sea,107800,>100K,high
female,65,sixties,criminologist,office,fishing,sea,77142,>50K<=100K,low
male,31,thirties,pianist,concert_hall,marbles,street,41160,<=50K,low
male,50,fifties,chemist,science_lab,baseball,ballpark,61740,>50K<=100K,low
female,57,fifties,surgeon,surgery,wrestling,wrestling_ring,254400,>100K,medium
male,36,thirties,post_doc,university,boxing,boxing_ring,46010,<=50K,low
female,57,fifties,journalist,office,tennis,tennis_court,53550,>50K<=100K,high
male,24,twenties,mime,street,dancing,ballroom,27300,<=50K,medium
female,59,fifties,street_cleaner,street,chess,cafeteria,29480,<=50K,high
male,62,sixties,composer,school,bowling,amusement_park,53920,>50K<=100K,low
male,36,thirties,assistant_professor,university,american_football,football_field,61610,>50K<=100K,medium
female,64,sixties,tap_dancer,theatre,bingo,casino,39550,<=50K,low
female,61,sixties,chemist,science_lab,hurling,ballpark,73500,>50K<=100K,low
male,64,sixties,copilot,airport,american_football,ballpark,175160,>100K,high
female,32,thirties,pianist,concert_hall,snorkeling,cave,41160,<=50K,low
male,31,thirties,school_principal,school,surfing,sea,82320,>50K<=100K,low
male,23,twenties,chiropractor,surgery,judo,gym,50160,>50K<=100K,low
male,72,seventies,copilot,airport,hurling,ballpark,175160,>100K,high
male,30,thirties,baseball_coach,gym,jump_rope,park,38380,<=50K,low
male,25,twenties,miner,mine,scuba_diving,sea,47320,<=50K,high
male,33,thirties,visiting_professor,office,marbles,park,61610,>50K<=100K,low
male,73,seventies,graphic_designer,office,billiards,pub,46740,<=50K,low
male,62,sixties,street_cleaner,street,hunting,jungle,30360,<=50K,high
male,68,sixties,taster,restaurant,surfing,sea,75900,>50K<=100K,low
male,40,forties,copilot,airport,bicycling,park,131080,>100K,high
male,72,seventies,veterinarian,hospital,billiards,pub,86140,>50K<=100K,high
female,69,sixties,taster,restaurant,wrestling,wrestling_ring,75900,>50K<=100K,medium
female,54,fifties,lecturer,university,chess,cafeteria,49220,<=50K,low
male,68,sixties,divorce_lawyer,courtroom,table_tennis,gym,103490,>100K,low
male,63,sixties,post_doc,university,boxing,boxing_ring,59770,>50K<=100K,low
female,39,thirties,nutritionist,hospital,volleyball,volleyball_court,42000,<=50K,low
male,62,sixties,composer,school,bicycling,park,53920,>50K<=100K,low
female,73,seventies,math_teacher,school,surfing,sea,47000,<=50K,low
female,25,twenties,associate_professor,university,chess,coffee_shop,60350,>50K<=100K,low
male,65,sixties,pharmacist,pharmacy,squash,squash_court,117600,>100K,low
male,64,sixties,dishwasher,tavern,scuba_diving,sea,20880,<=50K,low
male,49,forties,cardiologist,hospital,darts,bar,250880,>100K,low
male,60,sixties,music_teacher,school,running,gym,51250,>50K<=100K,low
female,38,thirties,assistant_professor,university,squash,squash_court,61610,>50K<=100K,low
female,36,thirties,clinical_psychologist,surgery,american_football,football_field,73730,>50K<=100K,medium
female,25,twenties,pediatrician,surgery,horse_racing,hippodrome,127840,>100K,medium
female,33,thirties,associate_professor,university,golf,golf_course,71710,>50K<=100K,low
female,41,forties,decorator,house,horse_racing,hippodrome,50850,>50K<=100K,medium
female,44,forties,clinical_psychologist,hospital,jump_rope,park,84680,>50K<=100K,low
male,26,twenties,window_cleaner,heights,swimming,river,27300,<=50K,high
male,40,forties,window_cleaner,heights,boxing,boxing_ring,38100,<=50K,high
male,41,forties,associate_professor,university,roller_skating,skating_rink,72420,>50K<=100K,low
female,75,seventies,pilot,airport,table_tennis,gym,175160,>100K,high
male,45,forties,breeder,countryside,rock_climbing,wall_rock,32100,<=50K,high
male,54,fifties,street_cleaner,street,horse_racing,hippodrome,29480,<=50K,high
male,68,sixties,dishwasher,tavern,marbles,park,20880,<=50K,low
