gender,age,semAge,occupation,placeOfWork,activity,placeOfActivity,salaryClass,salaryCatClass,riskOfAccidentClass
female,54,fifties,decorator,house,darts,pub,50850,>50K<=100K,low
male,65,sixties,music_teacher,school,ice_hockey,skating_rink,51250,>50K<=100K,medium
female,21,twenties,math_teacher,school,ice_hockey,skating_rink,47000,<=50K,medium
male,69,sixties,math_teacher,school,ice_hockey,skating_rink,47000,<=50K,medium
female,66,sixties,pianist,concert_hall,hurling,ballpark,41160,<=50K,low
male,69,sixties,physicist,science_lab,chess,coffee_shop,122980,>100K,low
female,45,forties,nurse,hospital,fishing,sea,66670,>50K<=100K,high
male,34,thirties,music_teacher,school,ice_skating,skating_rink,45510,<=50K,low
female,42,forties,dentist,surgery,jump_rope,park,146050,>100K,low
female,64,sixties,general_practitioner,surgery,jump_rope,street,175500,>100K,low
female,74,seventies,pediatrician,surgery,chess,cafeteria,157760,>100K,low
male,55,fifties,post_doc,university,basketball,basketball_court,46870,<=50K,low
male,75,seventies,electrician,house,boxing,boxing_ring,56580,>50K<=100K,high
female,51,fifties,opera_star,concert_hall,billiards,bar,54080,>50K<=100K,low
male,55,fifties,journalist,office,gymnastics,gym,53550,>50K<=100K,high
male,37,thirties,miner,mine,roller_skating,skating_rink,58240,>50K<=100K,high
male,70,seventies,chiropractor,surgery,dancing,ballroom,86070,>50K<=100K,low
male,43,forties,civil_engineer,office,darts,bar,77470,>50K<=100K,high
female,23,twenties,criminologist,courtroom,dominoes,pub,38106,<=50K,low
male,66,sixties,electrician,house,rock_climbing,wall_rock,56580,>50K<=100K,high
male,70,seventies,physicist,science_lab,hunting,jungle,122980,>100K,low
female,57,fifties,nurse,surgery,chess,cafeteria,66670,>50K<=100K,high
female,43,forties,clinical_psychologist,surgery,gymnastics,gym,84680,>50K<=100K,medium
male,26,twenties,electrician,house,billiards,pub,35420,<=50K,high
female,59,fifties,journalist,office,soccer,ballpark,53550,>50K<=100K,high
female,56,fifties,violinist,theatre,dominoes,pub,40320,<=50K,low
female,39,thirties,divorce_lawyer,office,bicycling,street,90060,>50K<=100K,low
female,74,seventies,massager,massage_parlor,billiards,pub,77900,>50K<=100K,low
female,37,thirties,journalist,office,ice_skating,skating_rink,29750,<=50K,high
female,47,forties,criminologist,office,jump_rope,park,68777,>50K<=100K,low
female,31,thirties,opera_star,theatre,darts,pub,51480,>50K<=100K,low
female,31,thirties,pediatrician,surgery,bingo,casino,138720,>100K,low
male,25,twenties,movie_actor,location,soccer,ballpark,71200,>50K<=100K,high
female,71,seventies,journalist,office,ice_skating,skating_rink,60900,>50K<=100K,high
female,66,sixties,esthetician,beauty_salon,bingo,casino,40800,<=50K,low
male,67,sixties,divorce_lawyer,courtroom,dominoes,bar,103490,>100K,low
male,58,fifties,divorce_lawyer,courtroom,boxing,boxing_ring,93220,>50K<=100K,low
male,75,seventies,pharmacist,pharmacy,ice_hockey,skating_rink,117600,>100K,medium
female,50,fifties,optometrist,hospital,bowling,amusement_park,107800,>100K,low
male,52,fifties,pharmacist,pharmacy,jump_rope,park,116480,>100K,low
female,21,twenties,massager,massage_parlor,roller_skating,skating_rink,38130,<=50K,low
male,60,sixties,movie_actor,location,bicycling,park,66750,>50K<=100K,high
male,66,sixties,massager,massage_parlor,golf,golf_course,77900,>50K<=100K,low
female,56,fifties,divorce_lawyer,courtroom,gymnastics,gym,93220,>50K<=100K,medium
female,74,seventies,general_practitioner,hospital,gymnastics,gym,175500,>100K,medium
female,70,seventies,divorce_lawyer,office,darts,bar,103490,>100K,low
male,26,twenties,pharmacist,pharmacy,hurling,ballpark,106400,>100K,low
female,24,twenties,choreographer,theatre,bingo,casino,34650,<=50K,low
male,69,sixties,magician,theatre,golf,golf_course,48000,<=50K,low
