gender,age,semAge,occupation,placeOfWork,activity,placeOfActivity,salaryClass,salaryCatClass,riskOfAccidentClass
male,74,seventies,beekeeper,farm,ice_hockey,skating_rink,39900,<=50K,high
female,22,twenties,general_practitioner,surgery,hunting,forest,102600,>100K,low
male,33,thirties,journalist,office,ice_hockey,skating_rink,29750,<=50K,high
male,44,forties,lecturer,university,rock_climbing,wall_rock,49220,<=50K,low
female,22,twenties,beekeeper,countryside,marbles,street,24300,<=50K,high
male,55,fifties,associate_professor,university,jump_rope,park,72420,>50K<=100K,low
female,49,forties,math_teacher,school,soccer,ballpark,47000,<=50K,low
female,56,fifties,ballet_dancer,school,scuba_diving,sea,40250,<=50K,low
female,72,seventies,lecturer,university,squash,squash_court,52900,>50K<=100K,low
male,59,fifties,general_practitioner,hospital,marbles,park,148500,>100K,low
female,39,thirties,demonstrator,university,gymnastics,gym,33209,<=50K,medium
female,68,sixties,copilot,sky,judo,gym,175160,>100K,high
male,49,forties,math_teacher,school,rugby,ballpark,47000,<=50K,medium
male,58,fifties,electrician,street,roller_skating,skating_rink,50140,>50K<=100K,high
female,56,fifties,sculptor,studio,roller_skating,skating_rink,48790,<=50K,low
male,47,forties,lecturer,university,scuba_diving,sea,49220,<=50K,low
male,73,seventies,cardiologist,hospital,roller_skating,skating_rink,275520,>100K,low
male,34,thirties,civil_engineer,architecture,hurling,ballpark,65270,>50K<=100K,high
female,52,fifties,math_teacher,school,hunting,jungle,47000,<=50K,low
female,74,seventies,choreographer,theatre,roller_skating,skating_rink,40250,<=50K,low
male,57,fifties,journalist,office,running,gym,53550,>50K<=100K,high
female,64,sixties,clinical_psychologist,hospital,hunting,jungle,91250,>50K<=100K,low
male,39,thirties,lecturer,university,surfing,sea,44620,<=50K,low
female,70,seventies,decorator,house,roller_skating,skating_rink,59850,>50K<=100K,low
male,70,seventies,dishwasher,restaurant,hunting,jungle,20880,<=50K,low
male,69,sixties,miner,mine,running,cinder_track,50440,>50K<=100K,high
male,30,thirties,math_teacher,school,auto_racing,racing_circuit,47000,<=50K,high
female,36,thirties,nutritionist,surgery,squash,squash_court,42000,<=50K,low
male,37,thirties,copilot,airport,ice_skating,skating_rink,91640,>50K<=100K,high
male,44,forties,copilot,sky,running,gym,131080,>100K,high
male,29,twenties,copilot,sky,rock_climbing,wall_rock,54520,>50K<=100K,high
female,22,twenties,graphic_designer,office,surfing,sea,34960,<=50K,low
male,43,forties,breeder,farm,soccer,ballpark,32100,<=50K,high
male,29,twenties,math_teacher,school,rock_climbing,wall_rock,47000,<=50K,low
male,33,thirties,general_practitioner,hospital,soccer,ballpark,139050,>100K,low
female,61,sixties,criminologist,courtroom,snorkeling,cave,77142,>50K<=100K,low
male,59,fifties,dentist,hospital,surfing,sea,146050,>100K,low
female,29,twenties,criminologist,courtroom,golf,golf_course,38106,<=50K,low
female,36,thirties,criminologist,courtroom,ice_hockey,skating_rink,56230,>50K<=100K,medium
female,36,thirties,math_teacher,school,hunting,forest,47000,<=50K,low
male,70,seventies,magician,theatre,fishing,sea,48000,<=50K,low
female,46,forties,decorator,office,judo,gym,50850,>50K<=100K,low
female,74,seventies,demonstrator,university,jump_rope,street,33209,<=50K,low
female,42,forties,clinical_psychologist,surgery,marbles,park,84680,>50K<=100K,low
female,36,thirties,decorator,house,squash,squash_court,43650,<=50K,low
male,32,thirties,divorce_lawyer,courtroom,running,gym,90060,>50K<=100K,low
male,73,seventies,movie_actor,location,jump_rope,park,66750,>50K<=100K,high
female,74,seventies,clinical_psychologist,hospital,american_football,football_field,91250,>50K<=100K,medium
female,32,thirties,divorce_lawyer,office,roller_skating,skating_rink,90060,>50K<=100K,low
female,36,thirties,decorator,house,hunting,jungle,43650,<=50K,low
male,30,thirties,composer,house,rugby,ballpark,50868,>50K<=100K,medium
female,41,forties,criminologist,office,ice_skating,skating_rink,68777,>50K<=100K,low
female,26,twenties,demonstrator,university,american_football,ballpark,33209,<=50K,medium
male,71,seventies,demonstrator,university,ice_hockey,skating_rink,33209,<=50K,medium
female,37,thirties,magician,theatre,snorkeling,sea,44000,<=50K,low
male,25,twenties,nurse,surgery,rock_climbing,wall_rock,51330,>50K<=100K,high
female,48,forties,decorator,office,roller_skating,skating_rink,50850,>50K<=100K,low
male,30,thirties,electrician,house,hunting,jungle,44620,<=50K,high
male,25,twenties,divorce_lawyer,courtroom,rock_climbing,wall_rock,66360,>50K<=100K,low
female,41,forties,massager,massage_parlor,marbles,park,51250,>50K<=100K,low
female,70,seventies,decorator,office,horse_racing,hippodrome,59850,>50K<=100K,medium
female,37,thirties,massager,massage_parlor,gymnastics,gym,44690,<=50K,medium
