gender,age,semAge,occupation,placeOfWork,activity,placeOfActivity,salaryClass,salaryCatClass,riskOfAccidentClass
female,62,sixties,general_practitioner,surgery,bicycling,park,175500,>100K,low
male,75,seventies,optometrist,surgery,american_football,ballpark,111720,>100K,medium
male,72,seventies,nurse,hospital,bingo,casino,70800,>50K<=100K,high
male,74,seventies,general_practitioner,surgery,horse_racing,hippodrome,175500,>100K,medium
male,42,forties,math_teacher,school,boat_racing,sea,47000,<=50K,high
male,46,forties,mime,circus,ice_hockey,skating_rink,38100,<=50K,high
female,45,forties,divorce_lawyer,courtroom,hunting,jungle,93220,>50K<=100K,low
male,56,fifties,magician,theatre,bingo,casino,44800,<=50K,low
male,49,forties,dishwasher,restaurant,basketball,basketball_court,19260,<=50K,low
female,23,twenties,lecturer,university,baseball,ballpark,44160,<=50K,low
female,25,twenties,demonstrator,university,boat_racing,sea,33209,<=50K,high
male,61,sixties,composer,studio,bingo,casino,53920,>50K<=100K,low
male,65,sixties,general_practitioner,surgery,fishing,sea,175500,>100K,low
female,46,forties,decorator,house,dancing,ballroom,50850,>50K<=100K,low
male,69,sixties,music_teacher,school,darts,pub,51250,>50K<=100K,low
male,61,sixties,dentist,surgery,boat_racing,sea,157480,>100K,high
female,64,sixties,general_practitioner,surgery,horse_racing,hippodrome,175500,>100K,medium
female,35,thirties,nutritionist,hospital,boat_racing,sea,42000,<=50K,high
male,70,seventies,civil_engineer,architecture,darts,bar,90280,>50K<=100K,high
female,73,seventies,optometrist,surgery,billiards,bar,111720,>100K,low
male,59,fifties,lecturer,university,dominoes,pub,49220,<=50K,low
male,38,thirties,dentist,surgery,bicycling,park,134620,>100K,low
female,63,sixties,math_teacher,school,hunting,forest,47000,<=50K,low
male,37,thirties,miner,mine,baseball,ballpark,58240,>50K<=100K,high
female,35,thirties,criminologist,office,horse_racing,hippodrome,56230,>50K<=100K,medium
male,73,seventies,electrician,house,bingo,casino,56580,>50K<=100K,high
male,62,sixties,copilot,sky,american_football,football_field,175160,>100K,high
female,34,thirties,magician,circus,boxing,boxing_ring,44000,<=50K,high
male,45,forties,advocate,courtroom,boat_racing,sea,118400,>100K,high
